netN,dieProbN,pOnMax,pOffMax,divProbP,dieProbP,cafDivBoost,ecSurvival,activProbF,divProbFP,activProbM,activProbE,out_jnkp_480,out_jnkp_1440,out_ec_480,out_ec_960,out_ec_1440,out_mac_1440,out_fibro_1440,out_tumor_480,out_tumor_960,out_tumor_1440,distance
0.004826277937841435,0.02498702595625664,0.07475286896795394,0.17865012335583894,0.008306544523027,0.0037711232098119035,0.20921164580678342,0.1419504010166343,0.007340346641552888,0.02861429901537134,0.05300474026111139,0.010923062772989649,0.45348837209302323,0.1880466472303207,0.04,0.0,NaN,0.6717081850533808,0.7719909416788252,0.8375884382355113,1.250420002308894,1.438384107034714,4.370878233861035
0.0023213732109288285,0.008611625302367134,0.08065792777191333,0.14694101882743002,0.008457071495308041,0.0025920402238701697,0.15899028048703412,0.29836254100212456,0.018683270444215132,0.028206570373514407,0.06895081554870604,0.0050355295565647955,0.5284552845528455,0.2618421052631579,0.17647058823529413,1.0,0.25,0.7527993109388458,0.8705522664934714,0.6919651027673603,1.2127201544178423,1.4828735836087537,4.504150590230119
0.0015306552862975006,0.02121711202434281,0.021157010122731863,0.10388920978219084,0.008602474394451075,0.0024854562407127705,0.07155700208864679,0.2661702790601746,0.004896206697558707,0.023795173954410918,0.046023889588684606,0.02745322036326146,0.3181818181818182,0.18309859154929578,0.16,0.4,NaN,0.69164265129683,0.38678775440972013,0.42160392686983106,0.6354837468149122,0.9304395947667001,4.260788754318767
0.003765095438080997,0.021552462112784443,0.08605495793511847,0.1151830609989949,0.006807263766612907,0.0010880157961353234,0.2385839493657531,0.2627255228489295,0.014894478632672917,0.03381217928085359,0.06425515300491111,0.0341257472345339,0.6084905660377359,0.422,0.3333333333333333,0.45454545454545453,NaN,0.6143790849673203,1.2709575295537514,0.9283958522567138,1.1373541113707328,1.3010299956639813,4.32029931012443
0.003998787464895653,0.008548694000299064,0.06391093827823795,0.18850035519615788,0.008897265161140429,0.0025402011637910525,0.10056678931223151,0.10057144841967953,0.03622793493809622,0.029819486248862603,0.039420133877761984,0.03675957116808472,0.35403726708074534,0.2549019607843137,0.11764705882352941,1.0,NaN,0.6958041958041958,1.039162670081839,0.8088858673598122,1.1986570869544226,1.4857214264815801,4.77973588339063
0.004896042605493416,0.0193769637163875,0.04183269768150489,0.07184476365208842,0.006758352888371139,0.001469293648800018,0.04268593427152345,0.05478208186210347,0.022535610973827336,0.026885151861540287,0.06337449440037422,0.05851036206206222,0.620253164556962,0.28211009174311924,0.14705882352941177,0.4444444444444444,0.3333333333333333,0.811789038262668,0.7469848429345474,0.9768083373380663,1.4189638307036225,1.7186677353162108,4.8064896463014515
0.0016096629898604685,0.009047454057737844,0.09952913594359944,0.10403417691382097,0.009027310996588697,0.0017280555291013127,0.03290902990289557,0.15358438034895516,0.027174158806862945,0.03520522799469766,0.02950330761533771,0.06370873923086429,0.757847533632287,0.4629934210526316,0.16666666666666666,0.5,1.0,0.6320293398533008,1.21113558853412,0.9503648543761231,1.404833716619938,1.6869935662646784,4.453723085630499
0.0025997991807979125,0.018574516658068727,0.034429916846495774,0.1188029560408925,0.006621397759285578,0.003061084528053752,0.4276094684821006,0.05099982197121976,0.023591782410718555,0.029805746764728917,0.04182908819427277,0.05947751372653652,0.4329896907216495,0.2717391304347826,0.19047619047619047,0.0,1.0,0.6590106007067138,1.155849034254982,0.5888317255942073,0.850033257689769,1.04296907339318,1.9197144137261553
0.0017197024185227098,0.021691549628774846,0.047788310716727705,0.09220697601792482,0.007707827149211314,0.0033376588078354286,0.3003733268308155,0.0971565373023134,0.046998603277016854,0.02301447678310542,0.07029774638919786,0.015905093418442578,0.7037037037037037,0.4881516587677725,0.038461538461538464,0.0,NaN,0.6198179979777553,0.8226836499150125,0.3344537511509309,0.5658478186735176,0.926342446625655,4.10804607506799
0.0021942854224355044,0.022527984016348986,0.019242235928934585,0.028670136513350437,0.007414707523458564,0.0034273990513807796,0.32808775218653496,0.0844053690730794,0.04384449610377312,0.02789180180923298,0.035018051482511595,0.05392910691249107,0.8095238095238095,0.5217391304347826,0.23809523809523808,0.7777777777777778,0.6666666666666666,0.6377325066430469,1.018266714138152,0.4014005407815441,0.8195439355418687,1.0051805125037803,3.1140362957269345
