parameter,biological_category,current_status,fixed_or_inferred,in_abc12,baseline,lower_bound,upper_bound,overall_rank,overall_priority_score,tumor_score,jnk_score,fibroblast_score,macrophage_score,endothelial_score,failure_score,peak_class,peak_class_meaning,n_bio_outputs,n_outputs_class_A,n_outputs_class_B,n_bio_outputs_top5,n_bio_outputs_top10,frac_bio_outputs_top10,frac_bio_outputs_classAB,max_normalized_mu_star,median_sigma_to_mustar,mean_valid_fraction,strongest_failure_outcome,strongest_failure_rank_biserial,top_affected_bio_outputs,classification
dieProbEN,endothelial,fixed,fixed,False,0.005,0.001,0.01,11,0.344587896255,0.193928255911,0.23457408098,0.171440758823,0.339845772191,0.540037361837,0.587701147785,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,55,10,50,0.4424778761061947,0.48672566371681414,2.03114159265,1.520082201075882,0.9216814159292036,EC_POPULATION_ZERO,0.587701147785,cumulative_ec_deaths_s480;active_macrophage_ec_colocalization_s960;active_macrophage_ec_colocalization_s1440,HIGH_INFLUENCE
clusterRadius,initialization,fixed,fixed,False,4.0,2.0,8.0,12,0.338084882561,0.537643519442,0.383718354566,0.306005503835,0.154630037808,0.256287799833,0.390224079879,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,76,40,63,0.5575221238938053,0.672566371681416,3.16506819762,1.6752499676691286,0.9168141592920354,FIBROBLAST_POPULATION_ZERO,-0.390224079879,tumor_radius_s0;tumor_rms_spread_s0;tumor_radius_s480,HIGH_INFLUENCE
lambdaStress,jnk,fixed,fixed,False,2.0,0.5,5.0,13,0.325208962171,0.345396725522,0.676065586064,0.1599964622,0.117199900972,0.315430347309,0.337164750958,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,58,17,23,0.20353982300884957,0.5132743362831859,1.43970478134,1.1632391799406385,0.9075221238938054,FIBROBLAST_POPULATION_ZERO,0.337164750958,abc_target_01_jnkp_s480_standardized_residual;jnkp_fraction_s480;abc_target_01_jnkp_s480_stat,HIGH_INFLUENCE
dieProbL,lung,fixed,fixed,False,0.002,0.0005,0.01,14,0.320584325634,0.244389515482,0.428182552758,0.194025215972,0.138797156928,0.242543572731,0.675567939936,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,45,1,10,0.08849557522123894,0.39823008849557523,0.992530483404,1.835083758766156,0.9176991150442477,FIBROBLAST_POPULATION_ZERO,0.675567939936,abc_target_02_jnkp_s1440_standardized_residual;abc_target_02_jnkp_s1440_stat;jnkp_fraction_s1440,HIGH_INFLUENCE
dieProbEP,endothelial,fixed,fixed,False,0.008,0.001,0.02,15,0.320378162131,0.178249217467,0.176603756246,0.0938483423589,0.301770571461,0.749100147125,0.42269693813,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,49,18,45,0.39823008849557523,0.4336283185840708,2.044666909,1.3797501594170205,0.9088495575221238,EC_POPULATION_ZERO,0.42269693813,active_macrophage_ec_colocalization_s960;active_macrophage_ec_colocalization_s1440;active_macrophage_ec_colocalization_s480,HIGH_INFLUENCE
initPop,initialization,fixed CLI,fixed,False,25.0,10.0,50.0,16,0.299985773268,0.324226311442,0.241413468042,0.185576650393,0.132502929155,0.311373112538,0.604822168041,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,39,7,15,0.13274336283185842,0.34513274336283184,1.96762089067,1.9139376417380416,0.9300884955752212,FIBROBLAST_POPULATION_ZERO,-0.604822168041,tumor_total_s0;tumor_fold_change_s480;tumor_fold_change_s960,MODERATE_INFLUENCE
recruitBias,macrophage,fixed,fixed,False,0.04,0.0,0.2,17,0.291898449232,0.329271195188,0.261146584942,0.319727215955,0.204047832114,0.310327632274,0.326870234916,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,63,6,27,0.23893805309734514,0.5575221238938053,1.12904112613,1.609227261828465,0.9146017699115043,FIBROBLAST_POPULATION_ZERO,0.326870234916,active_macrophage_ec_colocalization_s960;tumor_radius_s480;ec_activated_fraction_s960,MODERATE_INFLUENCE
initialLungCount,initialization,hard-coded,fixed,False,1225.0,613.0,1838.0,18,0.285815396657,0.240190167563,0.37510854992,0.266382759645,0.140387628404,0.211457896494,0.481365377917,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,44,5,11,0.09734513274336283,0.3893805309734513,1.31893440409,1.4990354648460824,0.922566371681416,FIBROBLAST_POPULATION_ZERO,0.481365377917,jnkp_fraction_s0;temporal_fibroblast_tumor_correlation;tumor_radius_s480,MODERATE_INFLUENCE
migrProbM,macrophage,fixed,fixed,False,0.8,0.1,0.85,19,0.283978111685,0.255432977973,0.323148729193,0.195213396768,0.267475578581,0.35267887308,0.309919114517,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,56,2,22,0.19469026548672566,0.49557522123893805,0.847526707726,1.4110245163131618,0.9128318584070797,FIBROBLAST_POPULATION_ZERO,0.309919114517,cumulative_ec_deaths_s480;tumor_radius_s480;tumor_rms_spread_s480,MODERATE_INFLUENCE
divProbFP,fibroblast,ABC-inferred,inferred,True,0.0298057467647,0.018,0.038,20,0.282516917155,0.219408014888,0.195415953317,0.546254415617,0.146549544649,0.22043150627,0.367042068191,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,51,13,18,0.1592920353982301,0.45132743362831856,1.41325349622,1.101705556084618,0.9371681415929204,FIBROBLAST_POPULATION_ZERO,-0.367042068191,cumulative_fibroblast_deaths_s1440;cumulative_fibroblast_divisions_s1440;cumulative_fibroblast_deaths_s960,MODERATE_INFLUENCE
