sample_id,point_id,trajectory_id,step_id,replicate_id,simulation_seed,status,flags,error_class,error_message,runtime_ms
"T0002_S025_R000","T0002_S025",2,25,0,-8992551566662092893,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",8281
"T0002_S026_R000","T0002_S026",2,26,0,-8992551566662092893,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",8272
"T0002_S027_R000","T0002_S027",2,27,0,-8992551566662092893,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",2898
"T0002_S028_R000","T0002_S028",2,28,0,-8992551566662092893,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",2934
"T0002_S029_R000","T0002_S029",2,29,0,-8992551566662092893,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",2948
"T0002_S033_R000","T0002_S033",2,33,0,-8992551566662092893,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",3032
"T0002_S034_R000","T0002_S034",2,34,0,-8992551566662092893,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",2881
"T0002_S035_R000","T0002_S035",2,35,0,-8992551566662092893,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",2914
"T0002_S036_R000","T0002_S036",2,36,0,-8992551566662092893,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",2887
"T0002_S037_R000","T0002_S037",2,37,0,-8992551566662092893,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",2777
"T0002_S038_R000","T0002_S038",2,38,0,-8992551566662092893,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",2829
"T0002_S039_R000","T0002_S039",2,39,0,-8992551566662092893,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",2885
"T0002_S041_R000","T0002_S041",2,41,0,-8992551566662092893,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",2886
"T0003_S000_R000","T0003_S000",3,0,0,1158854571926757710,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",6697
