output,output_family,rank_in_output,parameter,mu_signed,mu_star,sigma,sigma_to_mustar,n_valid_ee,valid_fraction,n_lost,lost_fraction,mean_snr,normalized_mu_star,positive_fraction,negative_fraction,effect_character,current_status,fixed_or_inferred,in_abc12
abc_target_09_tumor_s960_standardized_residual,tumor,8,pOnMax,2.78488764162,2.8095757573,2.70844586748,0.9640052810260629,15,0.75,5,0.25,,0.804589557032,0.866666666667,0.133333333333,moderate nonlinearity/interaction,ABC-inferred,inferred,True
abc_target_09_tumor_s960_standardized_residual,tumor,9,macrophageInteractionRadius,-1.45737000602,2.66582756978,3.29687239439,1.2367162946934627,16,0.8,4,0.19999999999999996,,0.763423807996,0.25,0.75,strong nonlinearity/interaction-dependent; sign-varying,hard-coded,fixed,False
abc_target_09_tumor_s960_standardized_residual,tumor,10,divProbMN,-1.81791478023,2.55530760443,3.39528557595,1.3287189260751917,15,0.75,5,0.25,,0.731773759147,0.133333333333,0.866666666667,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_09_tumor_s960_stat,tumor,1,divProbP,1.60142887243,1.61340117927,0.873491801274,0.5413977704350138,15,0.75,5,0.25,,1.71124522952,0.933333333333,0.0666666666667,moderate nonlinearity/interaction,ABC-inferred,inferred,True
abc_target_09_tumor_s960_stat,tumor,2,dieProbMP,0.8232734028,1.11127596709,1.2945959535,1.164963512069863,14,0.7,6,0.30000000000000004,,1.17866884058,0.785714285714,0.214285714286,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_09_tumor_s960_stat,tumor,3,stressStrength,1.01528396956,1.03400574562,0.726840912175,0.7029370148607628,16,0.8,4,0.19999999999999996,,1.09671259834,0.9375,0.0625,moderate nonlinearity/interaction,fixed,fixed,False
abc_target_09_tumor_s960_stat,tumor,4,lambdaStress,0.880880736628,0.896153282814,0.791853033503,0.883613382541558,15,0.75,5,0.25,,0.950500129685,0.733333333333,0.133333333333,moderate nonlinearity/interaction,fixed,fixed,False
abc_target_09_tumor_s960_stat,tumor,5,divProbMP,-0.662439936339,0.888195477547,1.09552155606,1.2334239294773137,17,0.85,3,0.15000000000000002,,0.942059726594,0.352941176471,0.647058823529,strong nonlinearity/interaction-dependent; sign-varying,fixed,fixed,False
abc_target_09_tumor_s960_stat,tumor,6,pOffMax,-0.838444751185,0.84028748535,0.785518692461,0.9348213631121884,17,0.85,3,0.15000000000000002,,0.891246373935,0.0588235294118,0.941176470588,moderate nonlinearity/interaction,ABC-inferred,inferred,True
abc_target_09_tumor_s960_stat,tumor,7,migrProbP,0.324362415693,0.760309333944,0.905653496784,1.1911645120625405,16,0.8,4,0.19999999999999996,,0.806417980466,0.75,0.25,strong nonlinearity/interaction-dependent; sign-varying,fixed,fixed,False
abc_target_09_tumor_s960_stat,tumor,8,pOnMax,0.751919663238,0.758585454471,0.731280384219,0.9640052810252719,15,0.75,5,0.25,,0.804589557032,0.866666666667,0.133333333333,moderate nonlinearity/interaction,ABC-inferred,inferred,True
