output,output_family,parameter,screened,current_status,classification,classification_reason,mu_star,sigma,n_valid,n_lost,mean_snr,mu_star_q25,mu_star_median,mu_star_q75,sigma_q25,sigma_median,sigma_q75
"abc_target_01_jnkp_s480_standardized_residual","jnk","migrProbM",true,"fixed","B","mu-star at/above output Q75 and sigma at/above median",1.11827356243,1.70783818904,19,1,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbEN",true,"fixed","C","sigma at/above output Q75 while mu-star below Q75",0.796366028885,1.40123644023,18,2,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbEP",true,"fixed","B","mu-star at/above output Q75 and sigma at/above median",1.07803133335,1.54678077214,19,1,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbEP",true,"fixed","D","mu-star and sigma at/below output medians",0.415153770108,0.492012885990,19,1,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","deactProbE",true,"fixed","C","intermediate mu-star with above-median variability",0.580213385006,1.00009960155,18,2,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbL",true,"fixed","C","intermediate mu-star with above-median variability",0.748316385513,1.06174460435,19,1,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","macrophageDaughterActivationBoost",true,"hard-coded","C","intermediate mu-star with above-median variability",0.415590094995,1.09341089357,19,1,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","endothelialDaughterDivisionBoost",true,"hard-coded","D","mu-star and sigma at/below output medians",0.199573514906,0.587422009561,18,2,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","fibroblastSignalBoost",true,"hard-coded","D","mu-star and sigma at/below output medians",0.554276754900,0.887255562564,20,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","fibroblastSignalCap",true,"hard-coded","D","mu-star and sigma at/below output medians",0.241496189156,0.534820030547,20,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","tumorEndothelialRadius",true,"hard-coded","B","mu-star at/above output Q75 and sigma at/above median",1.25211345455,2.33845592117,16,4,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","macrophageInteractionRadius",true,"hard-coded","C","sigma at/above output Q75 while mu-star below Q75",0.891937798950,1.34717586874,19,1,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","macrophageEndothelialBiasRadius",true,"hard-coded","D","mu-star and sigma at/below output medians",0.363736476328,0.588171501023,19,1,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","endothelialMacrophageRadius",true,"hard-coded","C","intermediate mu-star with above-median variability",0.680183988530,1.15846708361,19,1,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","fibroblastTumorRadius",true,"hard-coded","D","mu-star and sigma at/below output medians",0.617907737305,0.948898064281,16,4,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","clusterRadius",true,"fixed","B","mu-star at/above output Q75 and sigma at/above median",0.990450821674,1.47141307326,18,2,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
