outcome,rank_in_outcome,parameter,n_event,n_no_event,rank_biserial_effect,direction,point_biserial_correlation,normalized_mean_difference,univariate_logistic_coefficient,permutation_p_value,current_status,fixed_or_inferred,in_abc12,baseline_value,lower_bound,upper_bound
FIBROBLAST_POPULATION_ZERO,15,pOffMax,29,891,0.41479933434,higher-value -> more likely event,0.126690866576,0.221866171291,2.61772406759,0.00497512437811,ABC-inferred,inferred,True,0.118802956041,0.01,0.2
GENERAL_INVALID,1,dieProbEN,563,357,0.478822434835,higher-value -> more likely event,0.392253945653,0.260340015225,2.74338365464,0.00497512437811,fixed,fixed,False,0.005,0.001,0.01
GENERAL_INVALID,2,migrProbP,563,357,0.303516077834,higher-value -> more likely event,0.256489086238,0.185910811927,1.52991350603,0.00497512437811,fixed,fixed,False,0.1,0.0,0.3
GENERAL_INVALID,3,clusterRadius,563,357,-0.233915946485,higher-value -> less likely event,-0.203664727752,-0.132996999866,-1.34114571912,0.00497512437811,fixed,fixed,False,4.0,2.0,8.0
GENERAL_INVALID,4,dieProbEP,563,357,0.2233980626,higher-value -> more likely event,0.202419813868,0.126770850436,1.38142199965,0.00497512437811,fixed,fixed,False,0.008,0.001,0.02
GENERAL_INVALID,5,dieProbL,563,357,0.216999766159,higher-value -> more likely event,0.181319623223,0.124908080461,1.13559323677,0.00497512437811,fixed,fixed,False,0.002,0.0005,0.01
GENERAL_INVALID,6,endothelialDaughterDivisionBoost,563,357,-0.214825539452,higher-value -> less likely event,-0.175816257326,-0.110492509615,-1.2028396946,0.00497512437811,hard-coded,fixed,False,0.001,0.00025,0.002
GENERAL_INVALID,7,divProbP,563,357,-0.205044006946,higher-value -> less likely event,-0.168930164385,-0.117674920768,-1.04247208459,0.00497512437811,ABC-inferred,inferred,True,0.00662139775929,0.005,0.03
GENERAL_INVALID,8,migrProbM,563,357,0.173042574046,higher-value -> more likely event,0.171336191155,0.117050017165,1.08097837208,0.00497512437811,fixed,fixed,False,0.8,0.1,0.85
GENERAL_INVALID,9,divProbEP,563,357,-0.1676144703,higher-value -> less likely event,-0.121893611977,-0.0796921255181,-0.784970858419,0.00497512437811,fixed,fixed,False,0.0087,0.001,0.02
GENERAL_INVALID,10,pOffMax,563,357,0.166246249832,higher-value -> more likely event,0.146506056041,0.0919921787543,0.997075216765,0.00497512437811,ABC-inferred,inferred,True,0.118802956041,0.01,0.2
GENERAL_INVALID,11,dieProbP,563,357,0.164997437696,higher-value -> more likely event,0.149422280222,0.109316337547,0.873935041382,0.00497512437811,ABC-inferred,inferred,True,0.00306108452805,0.001,0.004
GENERAL_INVALID,12,activProbF,563,357,-0.151096317746,higher-value -> less likely event,-0.129128503639,-0.0978640834664,-0.722338574998,0.00497512437811,ABC-inferred,inferred,True,0.0235917824107,0.001,0.05
GENERAL_INVALID,13,activProbE,563,357,0.14594683344,higher-value -> more likely event,0.122767720192,0.0842684498311,0.757012233467,0.00497512437811,ABC-inferred,inferred,True,0.0594775137265,0.005,0.08
GENERAL_INVALID,14,initPop,563,357,-0.145305013657,higher-value -> less likely event,-0.124232963039,-0.0901184630158,-0.731639675564,0.00497512437811,fixed CLI,fixed,False,25.0,10.0,50.0
GENERAL_INVALID,15,initialLungCount,563,357,0.145081123035,higher-value -> more likely event,0.122706751766,0.080622515436,0.799222775161,0.00497512437811,hard-coded,fixed,False,1225.0,613.0,1838.0
MACROPHAGE_POPULATION_ZERO,1,dieProbMN,49,871,0.543335129689,higher-value -> more likely event,0.22487946016,0.357857494318,3.11005678332,0.00497512437811,fixed,fixed,False,0.005,0.001,0.01
MACROPHAGE_POPULATION_ZERO,2,divProbFN,49,871,-0.450830619274,higher-value -> less likely event,-0.167288724201,-0.22633613721,-2.6529590232,0.00497512437811,fixed,fixed,False,0.0,0.0,0.01
MACROPHAGE_POPULATION_ZERO,3,divProbMP,49,871,-0.403734857893,higher-value -> less likely event,-0.160968503136,-0.257138170997,-2.03588321023,0.00497512437811,fixed,fixed,False,0.01575,0.001,0.03
MACROPHAGE_POPULATION_ZERO,4,dieProbMP,49,871,0.342650952459,higher-value -> more likely event,0.13768449057,0.202230605216,2.03716347934,0.00497512437811,fixed,fixed,False,0.015,0.001,0.03
MACROPHAGE_POPULATION_ZERO,5,endothelialMacrophageRadius,49,871,0.336629255606,higher-value -> more likely event,0.143735325327,0.217366854894,1.92562091856,0.00497512437811,hard-coded,fixed,False,1.5,1.0,3.5
MACROPHAGE_POPULATION_ZERO,6,divProbMN,49,871,-0.328850254223,higher-value -> less likely event,-0.131845983733,-0.202549263104,-2.07879992764,0.00497512437811,fixed,fixed,False,0.005,0.001,0.01
MACROPHAGE_POPULATION_ZERO,7,divProbEP,49,871,-0.299819583402,higher-value -> less likely event,-0.108537767428,-0.153991424354,-1.74345071454,0.00497512437811,fixed,fixed,False,0.0087,0.001,0.02
MACROPHAGE_POPULATION_ZERO,8,activProbE,49,871,-0.228496450245,higher-value -> less likely event,-0.0835001784539,-0.124379671501,-1.10898230691,0.0199004975124,ABC-inferred,inferred,True,0.0594775137265,0.005,0.08
MACROPHAGE_POPULATION_ZERO,9,fibroblastSignalCap,49,871,0.225356732819,higher-value -> more likely event,0.0825761056102,0.115293235549,1.25840066539,0.0248756218905,hard-coded,fixed,False,10.0,5.0,15.0
MACROPHAGE_POPULATION_ZERO,10,initialMacrophageCount,49,871,-0.216710794536,higher-value -> less likely event,-0.101472795887,-0.144248928044,-1.54196829594,0.00497512437811,hard-coded,fixed,False,925.0,463.0,1388.0
MACROPHAGE_POPULATION_ZERO,11,pOnMax,49,871,0.202254035943,higher-value -> more likely event,0.090981706424,0.136394948335,1.24892828245,0.0149253731343,ABC-inferred,inferred,True,0.0344299168465,0.01,0.1
MACROPHAGE_POPULATION_ZERO,12,dieProbEN,49,871,0.199817240329,higher-value -> more likely event,0.0807212227412,0.116263267649,1.17348606012,0.0149253731343,fixed,fixed,False,0.005,0.001,0.01
MACROPHAGE_POPULATION_ZERO,13,netN,49,871,-0.184657559924,higher-value -> less likely event,-0.0802924999599,-0.119477963401,-1.08658869824,0.0248756218905,ABC-inferred,inferred,True,0.0025997991808,0.0015,0.005
MACROPHAGE_POPULATION_ZERO,14,divProbP,49,871,-0.180932074322,higher-value -> less likely event,-0.0687387936289,-0.103910588346,-0.912191761836,0.0547263681592,ABC-inferred,inferred,True,0.00662139775929,0.005,0.03
MACROPHAGE_POPULATION_ZERO,15,dieProbFN,49,871,-0.179619953607,higher-value -> less likely event,-0.067143529229,-0.10077087092,-0.909002053745,0.044776119403,fixed,fixed,False,0.008,0.001,0.008
TUMOR_EXTINCT,1,initPop,240,680,-0.382843137255,higher-value -> less likely event,-0.299287234914,-0.240931372549,-2.02489897007,0.00497512437811,fixed CLI,fixed,False,25.0,10.0,50.0
TUMOR_EXTINCT,2,dieProbMP,240,680,-0.359865196078,higher-value -> less likely event,-0.288784718257,-0.216911764706,-2.1369088409,0.00497512437811,fixed,fixed,False,0.015,0.001,0.03
TUMOR_EXTINCT,3,divProbMP,240,680,0.357083333333,higher-value -> more likely event,0.246386037087,0.201274509804,1.73256071965,0.00497512437811,fixed,fixed,False,0.01575,0.001,0.03
TUMOR_EXTINCT,4,endothelialDaughterDivisionBoost,240,680,-0.328645833333,higher-value -> less likely event,-0.241010121919,-0.168088235294,-1.88512726151,0.00497512437811,hard-coded,fixed,False,0.001,0.00025,0.002
TUMOR_EXTINCT,5,lambdaStress,240,680,-0.321384803922,higher-value -> less likely event,-0.24501733501,-0.214264705882,-1.56541156684,0.00497512437811,fixed,fixed,False,2.0,0.5,5.0
TUMOR_EXTINCT,6,dieProbN,240,680,0.310459558824,higher-value -> more likely event,0.227473178574,0.170637254902,1.57072340047,0.00497512437811,ABC-inferred,inferred,True,0.0185745166581,0.008,0.025
TUMOR_EXTINCT,7,dieProbP,240,680,0.277297794118,higher-value -> more likely event,0.22049698718,0.179019607843,1.46096071933,0.00497512437811,ABC-inferred,inferred,True,0.00306108452805,0.001,0.004
TUMOR_EXTINCT,8,cafDivBoost,240,680,0.266066176471,higher-value -> more likely event,0.204011753786,0.153235294118,1.41960140984,0.00497512437811,ABC-inferred,inferred,True,0.427609468482,0.0,1.0
TUMOR_EXTINCT,9,divProbMN,240,680,0.264987745098,higher-value -> more likely event,0.221694152015,0.174166666667,1.46174465974,0.00497512437811,fixed,fixed,False,0.005,0.001,0.01
TUMOR_EXTINCT,10,migrProbN,240,680,0.245128676471,higher-value -> more likely event,0.184778907714,0.13818627451,1.35548986523,0.00497512437811,fixed,fixed,False,0.01,0.0,0.1
TUMOR_EXTINCT,11,migrProbM,240,680,0.241740196078,higher-value -> more likely event,0.213887168729,0.162156862745,1.5167121677,0.00497512437811,fixed,fixed,False,0.8,0.1,0.85
TUMOR_EXTINCT,12,activProbE,240,680,0.232800245098,higher-value -> more likely event,0.17909109704,0.136421568627,1.27698512588,0.00497512437811,ABC-inferred,inferred,True,0.0594775137265,0.005,0.08
TUMOR_EXTINCT,13,clusterRadius,240,680,-0.22337622549,higher-value -> less likely event,-0.154696947992,-0.112107843137,-1.14006837453,0.00497512437811,fixed,fixed,False,4.0,2.0,8.0
TUMOR_EXTINCT,14,fibroblastTumorRadius,240,680,-0.206403186275,higher-value -> less likely event,-0.16045720715,-0.136470588235,-1.01405042119,0.00497512437811,hard-coded,fixed,False,3.5,1.5,5.5
TUMOR_EXTINCT,15,initialLungCount,240,680,0.201225490196,higher-value -> more likely event,0.161819110774,0.117990196078,1.15469699283,0.00497512437811,hard-coded,fixed,False,1225.0,613.0,1838.0
