sample_id,point_id,trajectory_id,step_id,replicate_id,simulation_seed,status,flags,error_class,error_message,runtime_ms
"T0001_S024_R000","T0001_S024",1,24,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1614
"T0001_S026_R000","T0001_S026",1,26,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2410
"T0001_S028_R000","T0001_S028",1,28,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2956
"T0001_S031_R000","T0001_S031",1,31,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3722
"T0001_S032_R000","T0001_S032",1,32,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3205
"T0001_S033_R000","T0001_S033",1,33,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3657
"T0001_S034_R000","T0001_S034",1,34,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3379
"T0001_S035_R000","T0001_S035",1,35,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3135
"T0001_S037_R000","T0001_S037",1,37,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3382
"T0001_S040_R000","T0001_S040",1,40,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3885
"T0001_S041_R000","T0001_S041",1,41,0,-918591818168106033,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4680
"T0001_S042_R000","T0001_S042",1,42,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",4990
"T0001_S043_R000","T0001_S043",1,43,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5751
"T0001_S044_R000","T0001_S044",1,44,0,-918591818168106033,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",5667
"T0001_S045_R000","T0001_S045",1,45,0,-918591818168106033,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",6012
"T0002_S000_R000","T0002_S000",2,0,0,-8992551566662092893,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2077
"T0002_S001_R000","T0002_S001",2,1,0,-8992551566662092893,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1127
"T0002_S002_R000","T0002_S002",2,2,0,-8992551566662092893,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1546
"T0002_S003_R000","T0002_S003",2,3,0,-8992551566662092893,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1789
"T0002_S004_R000","T0002_S004",2,4,0,-8992551566662092893,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1520
"T0002_S005_R000","T0002_S005",2,5,0,-8992551566662092893,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1473
"T0002_S006_R000","T0002_S006",2,6,0,-8992551566662092893,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",1526
"T0002_S007_R000","T0002_S007",2,7,0,-8992551566662092893,"INVALID","EC_POPULATION_ZERO;MACROPHAGE_POPULATION_ZERO;INVALID_DENOMINATOR","","",1003
"T0002_S008_R000","T0002_S008",2,8,0,-8992551566662092893,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",374
"T0002_S009_R000","T0002_S009",2,9,0,-8992551566662092893,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",2046
"T0002_S010_R000","T0002_S010",2,10,0,-8992551566662092893,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",1940
"T0002_S011_R000","T0002_S011",2,11,0,-8992551566662092893,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2550
"T0002_S012_R000","T0002_S012",2,12,0,-8992551566662092893,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2353
"T0002_S013_R000","T0002_S013",2,13,0,-8992551566662092893,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2589
"T0002_S014_R000","T0002_S014",2,14,0,-8992551566662092893,"INVALID","EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",2623
