parameter,biological_category,current_status,fixed_or_inferred,in_abc12,baseline,lower_bound,upper_bound,overall_rank,overall_priority_score,tumor_score,jnk_score,fibroblast_score,macrophage_score,endothelial_score,failure_score,peak_class,peak_class_meaning,n_bio_outputs,n_outputs_class_A,n_outputs_class_B,n_bio_outputs_top5,n_bio_outputs_top10,frac_bio_outputs_top10,frac_bio_outputs_classAB,max_normalized_mu_star,median_sigma_to_mustar,mean_valid_fraction,strongest_failure_outcome,strongest_failure_rank_biserial,top_affected_bio_outputs,classification
migrProbP,tumor,fixed,fixed,False,0.1,0.0,0.3,11,0.341620384606,0.468223347936,0.355675027494,0.189278521688,0.083175370234,0.169586256499,0.783783783784,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,59,15,23,0.20353982300884957,0.5221238938053098,1.58003500097,1.6752552048076976,0.8867256637168142,FIBROBLAST_POPULATION_ZERO,0.783783783784,tumor_rms_spread_s480;tumor_radius_s960;tumor_radius_s480,HIGH_INFLUENCE
initialLungCount,initialization,hard-coded,fixed,False,1225.0,613.0,1838.0,12,0.338658105214,0.270552761197,0.356951393868,0.219850803682,0.162797212821,0.262787450708,0.759009009009,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,58,4,26,0.23008849557522124,0.5132743362831859,1.65111644176,1.4173388285027748,0.9194690265486725,FIBROBLAST_POPULATION_ZERO,0.759009009009,jnkp_fraction_s0;tumor_rms_spread_s480;tumor_radius_s960,HIGH_INFLUENCE
pOffMax,jnk,ABC-inferred,inferred,True,0.118802956041,0.01,0.2,13,0.323788823658,0.403435168349,0.62990602692,0.148605248969,0.080167409487,0.121215935072,0.559403153153,A,"high mu*, low sigma: strong near-linear/additive effect",113,4,58,12,27,0.23893805309734514,0.5486725663716814,1.57184200539,1.043261630851585,0.9026548672566371,FIBROBLAST_POPULATION_ZERO,0.559403153153,jnkp_fraction_s960;abc_target_02_jnkp_s1440_standardized_residual;abc_target_02_jnkp_s1440_stat,HIGH_INFLUENCE
divProbFP,fibroblast,ABC-inferred,inferred,True,0.0298057467647,0.018,0.038,14,0.311979068937,0.246415823509,0.231454149875,0.554534187017,0.103843045774,0.262654234472,0.472972972973,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,62,15,23,0.20353982300884957,0.5486725663716814,1.4833449573,0.9834119600653062,0.9460176991150443,FIBROBLAST_POPULATION_ZERO,-0.472972972973,cumulative_fibroblast_divisions_s1440;cumulative_fibroblast_deaths_s1440;cumulative_fibroblast_divisions_s960,HIGH_INFLUENCE
clusterRadius,initialization,fixed,fixed,False,4.0,2.0,8.0,15,0.296683767146,0.338833540645,0.27704792611,0.251483741548,0.112217976973,0.175800949131,0.624718468468,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,44,33,38,0.336283185840708,0.3893805309734513,3.11493334104,1.132901877343371,0.9106194690265488,FIBROBLAST_POPULATION_ZERO,-0.624718468468,tumor_rms_spread_s0;tumor_radius_s0;tumor_radius_s480,HIGH_INFLUENCE
divProbP,tumor,ABC-inferred,inferred,True,0.00662139775929,0.005,0.03,16,0.290615817227,0.871111117095,0.161717328614,0.219968843486,0.102687238086,0.217039204908,0.171171171171,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,62,28,28,0.24778761061946902,0.5486725663716814,2.00659715309,1.1352105716837475,0.8973451327433629,FIBROBLAST_POPULATION_ZERO,-0.171171171171,tumor_fold_change_s480;tumor_rms_spread_s480;tumor_fold_change_s960,MODERATE_INFLUENCE
initialMacrophageCount,initialization,hard-coded,fixed,False,925.0,463.0,1388.0,17,0.28479890934,0.369426451125,0.360097182252,0.217860052371,0.176311016985,0.299344248802,0.285754504505,A,"high mu*, low sigma: strong near-linear/additive effect",113,1,65,12,34,0.3008849557522124,0.584070796460177,1.20356167541,1.2248593062879358,0.8849557522123894,FIBROBLAST_POPULATION_ZERO,-0.285754504505,tumor_rms_spread_s480;tumor_radius_s960;abc_target_02_jnkp_s1440_standardized_residual,MODERATE_INFLUENCE
migrProbM,macrophage,fixed,fixed,False,0.8,0.1,0.85,18,0.282300855457,0.336515207164,0.407044788493,0.206360375565,0.22138216894,0.30412720487,0.218375387711,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,65,5,31,0.2743362831858407,0.5752212389380531,1.13504540833,1.3613191838682654,0.891150442477876,TUMOR_EXTINCT,0.218375387711,tumor_log10_fold_s1440;abc_target_10_tumor_s1440_standardized_residual;abc_target_10_tumor_s1440_stat,MODERATE_INFLUENCE
macrophageInteractionRadius,macrophage,hard-coded,fixed,False,3.5,1.5,5.5,19,0.281338743452,0.2610619108,0.198776274341,0.191142578333,0.288751555865,0.408773114348,0.339527027027,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,60,15,26,0.23008849557522124,0.5309734513274337,0.9741788274,1.5055510311322542,0.9194690265486725,FIBROBLAST_POPULATION_ZERO,-0.339527027027,tumor_radius_s960;cumulative_ec_deaths_s960;abc_target_09_tumor_s960_stat,MODERATE_INFLUENCE
initPop,initialization,fixed CLI,fixed,False,25.0,10.0,50.0,20,0.278109728671,0.336366190787,0.253523308961,0.134313750916,0.0933862749843,0.216496774304,0.634572072072,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,37,7,13,0.11504424778761062,0.3274336283185841,1.95334641434,2.1799241688855098,0.9176991150442478,FIBROBLAST_POPULATION_ZERO,-0.634572072072,tumor_total_s0;tumor_fold_change_s1440;tumor_fold_change_s960,MODERATE_INFLUENCE
divProbEP,endothelial,fixed,fixed,False,0.0087,0.001,0.02,21,0.277228581181,0.186031791539,0.181916444622,0.089006069708,0.153034670037,0.624328457124,0.429054054054,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,43,8,14,0.12389380530973451,0.3805309734513274,2.78235756205,1.2678737142795575,0.8929203539823009,FIBROBLAST_POPULATION_ZERO,-0.429054054054,cumulative_ec_deaths_s960;cumulative_ec_divisions_s480;cumulative_ec_deaths_s1440,MODERATE_INFLUENCE
