robust_rank,candidate_id,divProbP,pOffMax,total_replicates,valid_count,invalid_count,valid_fraction,invalid_fraction,good_count,borderline_count,candidate_pass_count,poor_valid_count,fraction_distance_le_3,fraction_distance_le_4,mean_distance,median_distance,sd_distance,min_distance,max_distance,interquartile_range,median_absolute_deviation,mean_runtime,most_common_invalid_reason,EC_loss_count,fibroblast_loss_count,combined_EC_and_fibroblast_loss_count,initialization_failure_count,robustness_classification,robust_ranking_score,ranking_formula,abc_target_01_jnkp_s480_mean_sim,abc_target_01_jnkp_s480_median_sim,abc_target_01_jnkp_s480_sd_sim,abc_target_01_jnkp_s480_median_normalized_residual,abc_target_01_jnkp_s480_median_distance_contribution,abc_target_02_jnkp_s1440_mean_sim,abc_target_02_jnkp_s1440_median_sim,abc_target_02_jnkp_s1440_sd_sim,abc_target_02_jnkp_s1440_median_normalized_residual,abc_target_02_jnkp_s1440_median_distance_contribution,abc_target_03_ec_s480_mean_sim,abc_target_03_ec_s480_median_sim,abc_target_03_ec_s480_sd_sim,abc_target_03_ec_s480_median_normalized_residual,abc_target_03_ec_s480_median_distance_contribution,abc_target_04_ec_s960_mean_sim,abc_target_04_ec_s960_median_sim,abc_target_04_ec_s960_sd_sim,abc_target_04_ec_s960_median_normalized_residual,abc_target_04_ec_s960_median_distance_contribution,abc_target_05_ec_s1440_mean_sim,abc_target_05_ec_s1440_median_sim,abc_target_05_ec_s1440_sd_sim,abc_target_05_ec_s1440_median_normalized_residual,abc_target_05_ec_s1440_median_distance_contribution,abc_target_06_mac_s1440_mean_sim,abc_target_06_mac_s1440_median_sim,abc_target_06_mac_s1440_sd_sim,abc_target_06_mac_s1440_median_normalized_residual,abc_target_06_mac_s1440_median_distance_contribution,abc_target_07_fibro_s1440_mean_sim,abc_target_07_fibro_s1440_median_sim,abc_target_07_fibro_s1440_sd_sim,abc_target_07_fibro_s1440_median_normalized_residual,abc_target_07_fibro_s1440_median_distance_contribution,abc_target_08_tumor_s480_mean_sim,abc_target_08_tumor_s480_median_sim,abc_target_08_tumor_s480_sd_sim,abc_target_08_tumor_s480_median_normalized_residual,abc_target_08_tumor_s480_median_distance_contribution,abc_target_09_tumor_s960_mean_sim,abc_target_09_tumor_s960_median_sim,abc_target_09_tumor_s960_sd_sim,abc_target_09_tumor_s960_median_normalized_residual,abc_target_09_tumor_s960_median_distance_contribution,abc_target_10_tumor_s1440_mean_sim,abc_target_10_tumor_s1440_median_sim,abc_target_10_tumor_s1440_sd_sim,abc_target_10_tumor_s1440_median_normalized_residual,abc_target_10_tumor_s1440_median_distance_contribution
1,16,0.0112198651510,0.158809491956,10,8,2,0.800000000000,0.200000000000,4,3,7,1,0.400000000000,0.700000000000,3.19408028576,2.95659946884,0.906502016264,2.32719150524,5.02634778966,0.989607051017,0.452560281073,3.50285945000,"EC_POPULATION_ZERO",2,0,0,0,"ROBUST",0.696591621590,"0.40*valid_fraction + 0.25*(1-min(median_distance/6,1)) + 0.20*fraction_distance_le_4 + 0.10*(1-min(sd_distance/3,1)) + 0.05*(1-max_compartment_loss_frequency)",0.419439741914,0.434143870314,0.0505411184696,-0.479280648430,0.230486242633,0.218779888708,0.224062984115,0.0230934543666,0.420314920576,0.177405890967,0.247054024541,0.239409499358,0.116363420002,0.447047496791,0.110353710857,0.638717532468,0.657142857143,0.129488277914,1.78571428571,1.63520408163,0.721875000000,0.837500000000,0.347808829881,0.187500000000,1.00000000000,0.758268247570,0.772994417863,0.0553432741865,0.0149720893142,0.0112062710916,0.985197555382,1.01220402921,0.155384703613,-0.325170262186,0.105845169993,0.765020358356,0.793284651227,0.133160770485,1.38253574529,1.91743313970,1.17774139195,1.21442490934,0.112015581083,1.60898114572,2.59381350363,1.35910297928,1.38238626128,0.112556657427,1.00883800474,1.03480030263
,15,0.00761000096275,0.0213940190805,10,9,1,0.900000000000,0.100000000000,0,3,3,6,0,0.300000000000,3.94152887228,4.06372549172,0.395431326828,3.24682384220,4.28216793870,0.208879154325,0.136505190259,3.61305179580,"EC_POPULATION_ZERO",1,0,0,0,"UNCERTAIN",0.632497060284,"0.40*valid_fraction + 0.25*(1-min(median_distance/6,1)) + 0.20*fraction_distance_le_4 + 0.10*(1-min(sd_distance/3,1)) + 0.05*(1-max_compartment_loss_frequency)",0.818862749263,0.827067669173,0.0693235745329,1.48533834586,2.20623000170,0.644382334287,0.643465909091,0.0623074193395,2.51732954545,6.33694804042,0.255362113408,0.222222222222,0.145262691539,0.361111111111,0.0652006172840,0.527925084175,0.545454545455,0.218059489804,1.22727272727,0.861328125000,0.825518925519,1,0.213766472750,1.00000000000,1.00000000000,0.721795293916,0.746894409938,0.0824877462287,-0.115527950311,0.102853653615,1.03400073160,1.04554334895,0.0690487195939,-0.201691300201,0.0437730537801,0.674630023105,0.698970004336,0.132763648045,1.03322223828,1.06754819368,1.10945276891,1.11793383504,0.115704841308,1.25160679644,1.56651957290,1.39875593141,1.44963265047,0.135976916177,1.25789870544,1.58230915316
,4,0.0123410586386,0.172619321113,10,7,3,0.700000000000,0.300000000000,5,1,6,1,0.500000000000,0.600000000000,3.37326177063,2.80085622573,1.31472294715,2.49208943576,6.14222121006,0.798132341806,0.292680973951,3.79060261670,"EC_POPULATION_ZERO",3,0,0,0,"UNCERTAIN",0.624473559023,"0.40*valid_fraction + 0.25*(1-min(median_distance/6,1)) + 0.20*fraction_distance_le_4 + 0.10*(1-min(sd_distance/3,1)) + 0.05*(1-max_compartment_loss_frequency)",0.426629240873,0.442953020134,0.0665255384328,-0.435234899329,0.189429417594,0.224443706034,0.238193018480,0.0437850914627,0.490965092402,0.241046721958,0.316515189585,0.323529411765,0.138447453907,0.867647058824,0.376405709343,0.593877551020,0.600000000000,0.211978795445,1.50000000000,1.12500000000,0.619047619048,0.666666666667,0.372234067568,-0.666666666667,1.00000000000,0.696646241900,0.696808510638,0.0669027067051,-0.365957446809,0.133924852875,1.03781976617,1.04719257048,0.171483025467,-0.195583072299,0.0550682021682,0.820054297427,0.775246259740,0.123027345546,1.31572688793,1.73113724361,1.15282860494,1.14488541829,0.159586591126,1.35142747514,1.82635622056,1.30217375641,1.34321159018,0.237486419155,0.863746630295,0.786649418642
,65,0.00865536721969,0.0539186847061,10,7,3,0.700000000000,0.300000000000,1,3,4,3,0.100000000000,0.400000000000,3.97026269937,3.31286571714,1.19865820883,2.66500845014,5.66108689932,1.82832766969,0.647857267007,3.48501800800,"EC_POPULATION_ZERO",3,0,0,0,"UNCERTAIN",0.567008654825,"0.40*valid_fraction + 0.25*(1-min(median_distance/6,1)) + 0.20*fraction_distance_le_4 + 0.10*(1-min(sd_distance/3,1)) + 0.05*(1-max_compartment_loss_frequency)",0.650143001087,0.655737704918,0.0808902526278,0.628688524590,0.395249260951,0.409067699277,0.397759103641,0.0738927856997,1.28879551821,1.66099388775,0.306221416127,0.176470588235,0.187822915434,0.132352941176,0.00875865051903,0.763274044796,0.750000000000,0.157211658289,2.25000000000,2.53125000000,0.489115646259,0.555555555556,0.352750686161,-1.22222222222,1.49382716049,0.723664710386,0.697512437811,0.0551312774011,-0.362437810945,0.131361166803,0.983883759769,1.04027910895,0.143295063777,-0.221188485357,0.0489243460547,0.712766761111,0.691965102767,0.123285153962,1.00727815840,1.01460928838,1.16118668074,1.18752072084,0.142331408231,1.50933600310,2.27809517025,1.41430161868,1.46538285145,0.196061570685,1.31623278314,1.73246873942
,19,0.0139029107283,0.196208841879,10,6,4,0.600000000000,0.400000000000,1,4,5,1,0.100000000000,0.500000000000,3.44973377957,3.40834615045,0.455971891191,2.79321745198,4.16398751565,0.331075115678,0.217288882676,3.83068667480,"EC_POPULATION_ZERO",4,0,0,0,"UNCERTAIN",0.562786514025,"0.40*valid_fraction + 0.25*(1-min(median_distance/6,1)) + 0.20*fraction_distance_le_4 + 0.10*(1-min(sd_distance/3,1)) + 0.05*(1-max_compartment_loss_frequency)",0.385538972547,0.398537055667,0.0590875570401,-0.657314721663,0.437397838609,0.178919347830,0.177919022496,0.0423023332277,0.189595112480,0.0437162594938,0.291076238576,0.288181818182,0.208942356156,0.690909090909,0.598975694444,0.698375589552,0.710084033613,0.106142739522,2.05042016807,2.10233210931,0.872222222222,0.950000000000,0.172132593165,0.750000000000,1.00000000000,0.717592124957,0.724545191831,0.0757757067003,-0.227274040843,0.0997584513102,0.996637922285,0.957081262362,0.0871102813367,-0.529328657918,0.280667624837,0.807261917514,0.827015073724,0.148316412335,1.50746323602,2.32282441850,1.25783440716,1.26395408628,0.0637694480552,1.79242254177,3.21744366997,1.47819366807,1.43517713439,0.0854771309612,1.20435975701,1.45083950536
,63,0.0140694910100,0.184217378215,10,6,4,0.600000000000,0.400000000000,0,5,5,1,0,0.500000000000,3.69065010005,3.60521825037,0.331454083289,3.34379150913,4.28378127318,0.262219398714,0.172736044250,4.13855504180,"EC_POPULATION_ZERO",4,0,0,0,"UNCERTAIN",0.558734103458,"0.40*valid_fraction + 0.25*(1-min(median_distance/6,1)) + 0.20*fraction_distance_le_4 + 0.10*(1-min(sd_distance/3,1)) + 0.05*(1-max_compartment_loss_frequency)",0.413377551484,0.422321428571,0.0461807979232,-0.538392857143,0.290046237245,0.191532949093,0.187928064603,0.0204887597074,0.239640323014,0.0574360778852,0.213921484011,0.224080267559,0.0786391110034,0.370401337793,0.0691578533797,0.655618686869,0.739583333333,0.346400255284,2.19791666667,2.48187934028,0.631060606061,0.651515151515,0.242317684915,-0.742424242424,0.834710743802,0.740663973131,0.742261521325,0.0516679825290,-0.138692393376,0.0348614999100,0.937578950442,0.920260579156,0.163216856818,-0.665701558681,0.443975403605,0.853859436732,0.877913045023,0.115068014869,1.69597424083,2.88358515565,1.26320748766,1.25906421559,0.0603433877749,1.77431190959,3.14879792131,1.45431537888,1.45361106098,0.0439901400618,1.27263355918,1.61975122019
,53,0.00713347570304,0.0917209651633,10,6,4,0.600000000000,0.400000000000,3,1,4,2,0.300000000000,0.400000000000,3.22636627906,3.03051309003,0.945729919865,2.30359286911,4.34105038350,1.68441104558,0.708905080628,2.41817947900,"EC_POPULATION_ZERO",4,0,0,0,"UNCERTAIN",0.542204290587,"0.40*valid_fraction + 0.25*(1-min(median_distance/6,1)) + 0.20*fraction_distance_le_4 + 0.10*(1-min(sd_distance/3,1)) + 0.05*(1-max_compartment_loss_frequency)",0.540529134509,0.551439358188,0.0502950421503,0.107196790939,0.0316123322502,0.333295423081,0.341472081218,0.0464854362332,1.00736040609,1.02630124456,0.319415578672,0.316589861751,0.0816471478685,0.832949308756,0.355526901187,0.504329004329,0.477272727273,0.337129116109,0.886363636364,0.812500000000,0.369047619048,0.450000000000,0.304311423014,-1.75000000000,3.12500000000,0.670747410108,0.692135410676,0.0656178855783,-0.389322946618,0.152884518498,1.04641932467,1.02783715185,0.0536961436112,-0.267269807972,0.0714376651711,0.585131647115,0.551422582123,0.156903210502,0.486750304158,0.237252519860,0.866891584106,0.849471104300,0.100042575612,0.257300386296,0.0729043247883,1.07182181064,1.08994127810,0.0990536610339,-0.0742915625754,0.0730426415992
,90,0.0120574553271,0.186896880781,10,6,4,0.600000000000,0.400000000000,1,3,4,2,0.100000000000,0.400000000000,3.56707147719,3.49945634396,1.01119459890,1.99190328910,4.70322478024,1.19239219870,0.753587482657,3.13238522910,"EC_POPULATION_ZERO",4,0,0,0,"UNCERTAIN",0.520482832372,"0.40*valid_fraction + 0.25*(1-min(median_distance/6,1)) + 0.20*fraction_distance_le_4 + 0.10*(1-min(sd_distance/3,1)) + 0.05*(1-max_compartment_loss_frequency)",0.363738768570,0.376726357678,0.0586918244913,-0.766368211610,0.606596815167,0.182840527017,0.183791808764,0.0481382056657,0.218959043818,0.0514123594272,0.310610569986,0.292708333333,0.204017858429,0.713541666667,0.331986961451,0.564498504716,0.544685990338,0.273515656322,1.22342995169,0.803544131718,0.491666666667,0.450000000000,0.363891009324,-1.75000000000,3.12500000000,0.670204767620,0.711495098039,0.133410095626,-0.292524509804,0.100262178070,0.953289504329,1.05413496594,0.227810315044,-0.169870496501,0.0681086541659,0.744646165250,0.725604519353,0.143613109484,1.13186859019,1.28478655756,1.07353583718,1.05520595808,0.126691211574,1.01928132624,1.04098848714,1.21066463281,1.29923328976,0.204846292903,0.700864036156,0.693563534980
,29,0.00623175805864,0.0165398896234,10,7,3,0.700000000000,0.300000000000,0,2,2,5,0,0.200000000000,4.85109097622,4.69949961431,0.875066999694,3.68403274348,5.91307964074,1.31620533222,0.848069214609,2.59979413330,"EC_POPULATION_ZERO",3,0,0,0,"UNCERTAIN",0.480018616081,"0.40*valid_fraction + 0.25*(1-min(median_distance/6,1)) + 0.20*fraction_distance_le_4 + 0.10*(1-min(sd_distance/3,1)) + 0.05*(1-max_compartment_loss_frequency)",0.877605548133,0.885714285714,0.0317455373756,1.77857142857,3.16331632653,0.729236384209,0.728506787330,0.0794697084695,2.94253393665,8.65850596835,0.274583934584,0.280000000000,0.113581913926,0.650000000000,0.211250000000,0.640391156463,0.666666666667,0.144377012773,1.83333333333,1.68055555556,0.435714285714,0.500000000000,0.432737685858,-1.50000000000,2.25000000000,0.629927507605,0.675417661098,0.152338165935,-0.472911694511,0.223645470805,1.13839614298,1.10634893834,0.131550153479,0.0235145864482,0.107513116062,0.543568472358,0.602059991328,0.169835936619,0.674296264178,0.454675451884,0.853923422129,0.898725181589,0.211889964450,0.439722894776,0.622317036430,1.07978399017,1.11793383504,0.230011468933,0.0293845742209,0.293251021020
,25,0.0116064464444,0.122271650703,10,5,5,0.500000000000,0.500000000000,2,2,4,1,0.200000000000,0.400000000000,3.30395246952,3.35994846409,1.37676601953,1.94083821700,5.43549830735,1.29413646676,1.11527801789,3.45126355820,"EC_POPULATION_ZERO",5,0,0,0,"UNCERTAIN",0.469109946679,"0.40*valid_fraction + 0.25*(1-min(median_distance/6,1)) + 0.20*fraction_distance_le_4 + 0.10*(1-min(sd_distance/3,1)) + 0.05*(1-max_compartment_loss_frequency)",0.526135519193,0.475409836066,0.127497167168,-0.272950819672,0.257957063712,0.213636280435,0.215590742996,0.0230315451331,0.377953714982,0.142849010668,0.218682926829,0.280000000000,0.191404029939,0.650000000000,0.281250000000,0.436554621849,0.571428571429,0.302084477298,1.35714285714,1.12500000000,0.572121212121,0.666666666667,0.324500039264,-0.666666666667,0.444444444444,0.719132172340,0.741584158416,0.128825165856,-0.142079207921,0.341889731835,0.927808699592,0.983480170185,0.130438120285,-0.431554925242,0.186239653500,0.713959789798,0.766412847112,0.249865345954,1.28301054486,1.64611605822,1.17614049624,1.23146959043,0.202680930280,1.67210959419,2.79595049497,1.38668102301,1.51161602057,0.207299680916,1.48746674285,2.21255731108
