outcome,rank_in_outcome,parameter,n_event,n_no_event,rank_biserial_effect,direction,point_biserial_correlation,normalized_mean_difference,univariate_logistic_coefficient,permutation_p_value,current_status,fixed_or_inferred,in_abc12,baseline_value,lower_bound,upper_bound
FIBROBLAST_POPULATION_ZERO,15,initialLungCount,257,4343,-0.24247615242,higher-value -> less likely event,-0.105470879087,-0.14517659349,-1.56079016886,0.00497512437811,hard-coded,fixed,False,1225.0,613.0,1838.0
GENERAL_INVALID,1,dieProbEN,2637,1963,0.324603959755,higher-value -> more likely event,0.26872792248,0.174619346805,1.75056589274,0.00497512437811,fixed,fixed,False,0.005,0.001,0.01
GENERAL_INVALID,2,lambdaStress,2637,1963,-0.323566565458,higher-value -> less likely event,-0.277120216785,-0.205812846728,-1.60739734673,0.00497512437811,fixed,fixed,False,2.0,0.5,5.0
GENERAL_INVALID,3,divProbMN,2637,1963,-0.250686235362,higher-value -> less likely event,-0.225759518358,-0.146764247413,-1.4831366043,0.00497512437811,fixed,fixed,False,0.005,0.001,0.01
GENERAL_INVALID,4,dieProbEP,2637,1963,0.246080745595,higher-value -> more likely event,0.215311749819,0.151724421711,1.29422373213,0.00497512437811,fixed,fixed,False,0.008,0.001,0.02
GENERAL_INVALID,5,migrProbN,2637,1963,0.229805052941,higher-value -> more likely event,0.199514347981,0.130945626436,1.27402502299,0.00497512437811,fixed,fixed,False,0.01,0.0,0.1
GENERAL_INVALID,6,macrophageEndothelialBiasRadius,2637,1963,0.206460783501,higher-value -> more likely event,0.172990546342,0.116491845443,1.06237758444,0.00497512437811,hard-coded,fixed,False,3.5,1.5,5.5
GENERAL_INVALID,7,lambdaCAF,2637,1963,-0.201213925193,higher-value -> less likely event,-0.179453577659,-0.128233139783,-1.04451295966,0.00497512437811,fixed,fixed,False,2.0,0.5,5.0
GENERAL_INVALID,8,deactProbE,2637,1963,0.158876840047,higher-value -> more likely event,0.137201408849,0.0958082895339,0.815562317474,0.00497512437811,fixed,fixed,False,0.01,0.0,0.05
GENERAL_INVALID,9,fibroblastSignalBoost,2637,1963,0.154102314896,higher-value -> more likely event,0.124920366245,0.0868194707898,0.742073101979,0.00497512437811,hard-coded,fixed,False,0.02,0.005,0.04
GENERAL_INVALID,10,macrophageDaughterActivationBoost,2637,1963,0.149290119003,higher-value -> more likely event,0.140508018905,0.0914166536751,0.890530273641,0.00497512437811,hard-coded,fixed,False,0.008,0.002,0.016
GENERAL_INVALID,11,migrProbP,2637,1963,0.140530222464,higher-value -> more likely event,0.100884520177,0.0737776665042,0.566299214256,0.00497512437811,fixed,fixed,False,0.1,0.0,0.3
GENERAL_INVALID,12,divProbMP,2637,1963,-0.111106474712,higher-value -> less likely event,-0.10905746732,-0.0690695964072,-0.707495117453,0.00497512437811,fixed,fixed,False,0.01575,0.001,0.03
GENERAL_INVALID,13,initPop,2637,1963,0.105615239535,higher-value -> more likely event,0.104396407527,0.0773724212686,0.579352318618,0.00497512437811,fixed CLI,fixed,False,25.0,10.0,50.0
GENERAL_INVALID,14,divProbFP,2637,1963,0.0986635386427,higher-value -> more likely event,0.080410199617,0.0576319862082,0.460714233317,0.00497512437811,ABC-inferred,inferred,True,0.0298057467647,0.018,0.038
GENERAL_INVALID,15,pOffMax,2637,1963,0.096786762926,higher-value -> more likely event,0.0841133392795,0.0615601753409,0.471832902878,0.00497512437811,ABC-inferred,inferred,True,0.118802956041,0.01,0.2
MACROPHAGE_POPULATION_ZERO,1,dieProbMP,603,3997,0.759020758106,higher-value -> more likely event,0.433403047167,0.429701629456,7.03538648216,0.00497512437811,fixed,fixed,False,0.015,0.001,0.03
MACROPHAGE_POPULATION_ZERO,2,dieProbMN,603,3997,0.539882523833,higher-value -> more likely event,0.307162152156,0.308505840409,3.40774273844,0.00497512437811,fixed,fixed,False,0.005,0.001,0.01
MACROPHAGE_POPULATION_ZERO,3,netN,603,3997,0.464896765443,higher-value -> more likely event,0.270921184341,0.285366595428,3.22825586231,0.00497512437811,ABC-inferred,inferred,True,0.0025997991808,0.0015,0.005
MACROPHAGE_POPULATION_ZERO,4,migrProbP,603,3997,0.427907995673,higher-value -> more likely event,0.244518153949,0.262060143781,2.31499101165,0.00497512437811,fixed,fixed,False,0.1,0.0,0.3
MACROPHAGE_POPULATION_ZERO,5,initialJnkPositiveTenths,603,3997,-0.360346960054,higher-value -> less likely event,-0.226426861667,-0.208393027772,-2.3697558962,0.00497512437811,hard-coded,fixed,False,9.0,5.0,10.0
MACROPHAGE_POPULATION_ZERO,6,divProbP,603,3997,0.34929596866,higher-value -> more likely event,0.216008013215,0.221292420393,2.0959394443,0.00497512437811,ABC-inferred,inferred,True,0.00662139775929,0.005,0.03
MACROPHAGE_POPULATION_ZERO,7,initPop,603,3997,0.338898452446,higher-value -> more likely event,0.209718287761,0.227785681716,1.83685494941,0.00497512437811,fixed CLI,fixed,False,25.0,10.0,50.0
MACROPHAGE_POPULATION_ZERO,8,lambdaCAF,603,3997,-0.323891343051,higher-value -> less likely event,-0.189845592915,-0.198809969832,-1.72360850194,0.00497512437811,fixed,fixed,False,2.0,0.5,5.0
MACROPHAGE_POPULATION_ZERO,9,clusterRadius,603,3997,-0.31958463043,higher-value -> less likely event,-0.185646743042,-0.193494623455,-1.60335203669,0.00497512437811,fixed,fixed,False,4.0,2.0,8.0
MACROPHAGE_POPULATION_ZERO,10,macrophageInteractionRadius,603,3997,0.305031841875,higher-value -> more likely event,0.178325849084,0.172537778126,1.6648720087,0.00497512437811,hard-coded,fixed,False,3.5,1.5,5.5
MACROPHAGE_POPULATION_ZERO,11,pOffMax,603,3997,-0.285622591737,higher-value -> less likely event,-0.179607569564,-0.192641164123,-1.56516210368,0.00497512437811,ABC-inferred,inferred,True,0.118802956041,0.01,0.2
MACROPHAGE_POPULATION_ZERO,12,migrProbM,603,3997,0.278328564002,higher-value -> more likely event,0.169192568883,0.162043589077,1.7970437186,0.00497512437811,fixed,fixed,False,0.8,0.1,0.85
MACROPHAGE_POPULATION_ZERO,13,initialMacrophageCount,603,3997,-0.277870094113,higher-value -> less likely event,-0.16447144527,-0.161023752889,-1.46284359299,0.00497512437811,hard-coded,fixed,False,925.0,463.0,1388.0
MACROPHAGE_POPULATION_ZERO,14,fibroblastTumorRadius,603,3997,0.274469948647,higher-value -> more likely event,0.176437522547,0.180605188551,1.59819689976,0.00497512437811,hard-coded,fixed,False,3.5,1.5,5.5
MACROPHAGE_POPULATION_ZERO,15,dieProbFN,603,3997,0.264333822506,higher-value -> more likely event,0.142931337906,0.137265469832,1.3630572739,0.00497512437811,fixed,fixed,False,0.008,0.001,0.008
TUMOR_EXTINCT,1,pOffMax,950,3650,0.523894736842,higher-value -> more likely event,0.369859548535,0.330733958183,2.9536813358,0.00497512437811,ABC-inferred,inferred,True,0.118802956041,0.01,0.2
TUMOR_EXTINCT,2,stressStrength,950,3650,-0.45741888969,higher-value -> less likely event,-0.316824213922,-0.269689978371,-2.81149495997,0.00497512437811,fixed,fixed,False,1.5,0.0,3.0
TUMOR_EXTINCT,3,migrProbP,950,3650,-0.421290555155,higher-value -> less likely event,-0.304737826267,-0.272291276136,-2.26061668582,0.00497512437811,fixed,fixed,False,0.1,0.0,0.3
TUMOR_EXTINCT,4,netN,950,3650,-0.348723864456,higher-value -> less likely event,-0.2507152651,-0.220170151406,-1.71246005652,0.00497512437811,ABC-inferred,inferred,True,0.0025997991808,0.0015,0.005
