output,output_family,parameter,mu,mu_star,sigma,se_mu_star,median_absolute_ee,iqr_absolute_ee,min_ee,max_ee,n_valid_ee,n_lost_invalid_or_extinct,positive_fraction,negative_fraction,rank_by_mu_star,output_scale_sd,normalized_mu_star,mean_within_point_output_variance,mean_signal_to_noise_ratio
"abc_target_01_jnkp_s480_standardized_residual","jnk","pOffMax",-2.73747980421,2.73747980421,1.20410559569,0.269246196406,3.18431052069,1.18609805032,-4.41981387253,-0.0649600861867,20,0,0,1,1,1.56550998214,1.74861855590,0.522818541945,5.41260077773
"abc_target_01_jnkp_s480_standardized_residual","jnk","stressStrength",2.23570959017,2.27118337564,1.96562422064,0.429848081713,1.70722158336,3.29888691905,-0.354737854738,5.76923076923,20,0,0.900000000000,0.0500000000000,2,1.56550998214,1.45076262786,0.317899701629,4.90458300715
"abc_target_01_jnkp_s480_standardized_residual","jnk","lambdaStress",0.988220217900,1.86541320036,2.68677068119,0.490782593538,1.37272157417,2.37380539866,-8.33333333333,5.03982688863,19,1,0.736842105263,0.0526315789474,3,1.56550998214,1.19156902328,0.236271290256,5.94976195899
"abc_target_01_jnkp_s480_standardized_residual","jnk","lambdaCAF",1.12303634463,1.13858430939,0.984222808212,0.215833294728,0.759723563455,1.58220189606,-0.155479647667,3.00925925926,20,0,0.900000000000,0.0500000000000,4,1.56550998214,0.727292909264,0.281342813715,2.58204917518
"abc_target_01_jnkp_s480_standardized_residual","jnk","pOnMax",1.12112902498,1.12112902498,0.647410591164,0.144765409120,1.16769059584,0.690537582183,0,2.57229628665,20,0,0.950000000000,0,5,1.56550998214,0.716143006283,0.163613329954,2.78294851142
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbL",-0.594891205223,0.668795905584,0.662489640603,0.130496114166,0.482216715216,0.627346895709,-1.92086213502,0.278138528139,20,0,0.200000000000,0.750000000000,6,1.56550998214,0.427206414021,0.0596554007766,4.23943596094
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbFN",-0.307720583095,0.654343476499,1.09200276835,0.205115258460,0.338884727398,0.457816805224,-3.09170149522,2.36111111111,20,0,0.250000000000,0.750000000000,7,1.56550998214,0.417974643383,0.295198020426,1.00400068051
"abc_target_01_jnkp_s480_standardized_residual","jnk","activProbF",0.491128106171,0.624453648966,0.929710628859,0.188122051326,0.298952101457,0.444200676349,-0.852159131484,3.56748299860,20,0,0.800000000000,0.200000000000,8,1.56550998214,0.398881933740,0.198718558470,1.25166534579
"abc_target_01_jnkp_s480_standardized_residual","jnk","endothelialMacrophageRadius",-0.166295461152,0.606974503738,0.911462582799,0.157458239420,0.244365929371,0.774595258326,-2.08333333333,2.08333333333,19,1,0.421052631579,0.578947368421,9,1.56550998214,0.387716789201,0.296043291191,0.618554507916
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbP",0.197767768141,0.497814568223,0.666224473255,0.105868598323,0.392636990700,0.727128164931,-1.38888888889,1.61873965410,20,0,0.550000000000,0.400000000000,10,1.56550998214,0.317988753762,0.227785906032,0.980602557303
