parameter,biological_category,current_status,fixed_or_inferred,in_abc12,baseline,lower_bound,upper_bound,overall_rank,overall_priority_score,tumor_score,jnk_score,fibroblast_score,macrophage_score,endothelial_score,failure_score,peak_class,peak_class_meaning,n_bio_outputs,n_outputs_class_A,n_outputs_class_B,n_bio_outputs_top5,n_bio_outputs_top10,frac_bio_outputs_top10,frac_bio_outputs_classAB,max_normalized_mu_star,median_sigma_to_mustar,mean_valid_fraction,strongest_failure_outcome,strongest_failure_rank_biserial,top_affected_bio_outputs,classification
migrProbP,tumor,fixed,fixed,False,0.1,0.0,0.3,11,0.263348610365,0.539104872703,0.144803314092,0.17292551396,0.170010770685,0.12533919508,0.427907995673,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,70,22,33,0.2920353982300885,0.6194690265486725,1.31354088373,1.2807580133443215,0.947345132743363,MACROPHAGE_POPULATION_ZERO,0.427907995673,tumor_radius_s480;tumor_radius_s960;tumor_rms_spread_s960,HIGH_INFLUENCE
lambdaStress,jnk,fixed,fixed,False,2.0,0.5,5.0,12,0.243176113913,0.246286131191,0.510375726151,0.108410406892,0.133324920732,0.137092933053,0.323566565458,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,61,6,25,0.22123893805309736,0.5398230088495575,1.19156902328,1.4403086033076695,0.9420353982300884,GENERAL_INVALID,-0.323566565458,abc_target_01_jnkp_s480_standardized_residual;abc_target_01_jnkp_s480_stat;jnkp_fraction_s480,HIGH_INFLUENCE
divProbEP,endothelial,fixed,fixed,False,0.0087,0.001,0.02,13,0.221816309835,0.0967275119747,0.113732149919,0.053000300488,0.125050104049,0.507379446934,0.435008345645,A,"high mu*, low sigma: strong near-linear/additive effect",113,1,45,7,11,0.09734513274336283,0.40707964601769914,1.62822818157,1.2125642886768258,0.9610619469026548,FIBROBLAST_POPULATION_ZERO,0.435008345645,cumulative_ec_divisions_s480;cumulative_ec_divisions_s960;cumulative_ec_divisions_s1440,HIGH_INFLUENCE
dieProbFP,fibroblast,fixed,fixed,False,0.012,0.001,0.012,14,0.221221313566,0.116941822059,0.174984982612,0.336347409608,0.0996455504487,0.111109490409,0.488298626261,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,51,9,43,0.3805309734513274,0.45132743362831856,1.04200419109,1.005782592039648,0.9446902654867256,FIBROBLAST_POPULATION_ZERO,0.488298626261,temporal_fibroblast_tumor_correlation;cumulative_fibroblast_deaths_s960;cumulative_fibroblast_deaths_s1440,HIGH_INFLUENCE
activProbF,fibroblast,ABC-inferred,inferred,True,0.0235917824107,0.001,0.05,15,0.215976215303,0.151928233657,0.239438964285,0.454094303643,0.113553412699,0.0946769225951,0.242165454937,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,56,45,53,0.4690265486725664,0.49557522123893805,1.00669858774,0.8595830627581007,0.9464601769911504,MACROPHAGE_POPULATION_ZERO,-0.242165454937,active_macrophage_ec_colocalization_s1440;fibroblast_log10_fold_s480;cumulative_fibroblast_deaths_s480,HIGH_INFLUENCE
initialJnkPositiveTenths,initialization,hard-coded,fixed,False,9.0,5.0,10.0,16,0.215075234172,0.12090448764,0.291966029764,0.118468274235,0.0969041727947,0.0962007946785,0.566007645919,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,37,1,6,0.05309734513274336,0.3274336283185841,3.12275613523,2.164881178361224,0.95929203539823,FIBROBLAST_POPULATION_ZERO,0.566007645919,jnkp_fraction_s0;jnkp_fraction_s960;active_macrophage_ec_colocalization_s480,MODERATE_INFLUENCE
pOnMax,jnk,ABC-inferred,inferred,True,0.0344299168465,0.01,0.1,17,0.213772084245,0.257847546034,0.440278745549,0.153450411609,0.11080791131,0.141383203306,0.178864687663,A,"high mu*, low sigma: strong near-linear/additive effect",113,1,55,10,21,0.18584070796460178,0.49557522123893805,1.00721414165,1.013185315841407,0.9561946902654865,FIBROBLAST_POPULATION_ZERO,-0.178864687663,abc_target_02_jnkp_s1440_standardized_residual;abc_target_02_jnkp_s1440_stat;jnkp_fraction_s1440,MODERATE_INFLUENCE
migrProbM,macrophage,fixed,fixed,False,0.8,0.1,0.85,18,0.213038184176,0.203917985372,0.1379323184,0.101267839286,0.251308403836,0.259841015321,0.323961542838,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,69,10,29,0.25663716814159293,0.6106194690265486,0.69083175501,1.4778869910968793,0.9407079646017699,FIBROBLAST_POPULATION_ZERO,-0.323961542838,ec_activated_fraction_s960;abc_target_04_ec_s960_standardized_residual;abc_target_04_ec_s960_stat,MODERATE_INFLUENCE
macrophageInteractionRadius,macrophage,hard-coded,fixed,False,3.5,1.5,5.5,19,0.210141474672,0.146786722402,0.155363072071,0.0984781282195,0.156734777934,0.398454305528,0.305031841875,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,49,7,17,0.1504424778761062,0.4336283185840708,1.12868638509,1.8403108788329117,0.9380530973451328,MACROPHAGE_POPULATION_ZERO,0.305031841875,cumulative_ec_divisions_s480;active_macrophage_ec_colocalization_s1440;active_macrophage_ec_colocalization_s480,MODERATE_INFLUENCE
clusterRadius,initialization,fixed,fixed,False,4.0,2.0,8.0,20,0.210114028464,0.343751690905,0.208905700415,0.107297996986,0.107778035063,0.173366116984,0.31958463043,B,"high mu*, high sigma: strong effect with nonlinearity/interaction/stochasticity",113,0,48,35,45,0.39823008849557523,0.4247787610619469,3.05500032564,1.3132862220586659,0.9380530973451328,MACROPHAGE_POPULATION_ZERO,-0.31958463043,tumor_rms_spread_s0;tumor_radius_s0;tumor_total_s0,MODERATE_INFLUENCE
