output,output_family,rank_in_output,parameter,mu_signed,mu_star,sigma,sigma_to_mustar,n_valid_ee,valid_fraction,n_lost,lost_fraction,mean_snr,normalized_mu_star,positive_fraction,negative_fraction,effect_character,current_status,fixed_or_inferred,in_abc12
abc_target_07_fibro_s1440_standardized_residual,fibroblast,7,dieProbMN,1.92500532678,1.9928963084,2.68181689355,1.3456881234845084,19,0.95,1,0.050000000000000044,4.27225915233,0.58431005033,0.947368421053,0.0526315789474,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_07_fibro_s1440_standardized_residual,fibroblast,8,pOffMax,0.0184228444524,1.94413380943,2.90316620807,1.4932954686494437,20,1.0,0,0.0,2.08642104878,0.570013060515,0.5,0.5,strong nonlinearity/interaction-dependent; sign-varying,ABC-inferred,inferred,True
abc_target_07_fibro_s1440_standardized_residual,fibroblast,9,initialMacrophageCount,-0.998115160378,1.90124431814,4.06714081339,2.1391994572106916,19,0.95,1,0.050000000000000044,1.3777084574,0.557438015487,0.315789473684,0.684210526316,strong nonlinearity/interaction-dependent; sign-varying,hard-coded,fixed,False
abc_target_07_fibro_s1440_standardized_residual,fibroblast,10,fibroblastTumorRadius,1.59014131588,1.89597669613,4.3589149661,2.2990340413979045,20,1.0,0,0.0,1.78375793443,0.555893567606,0.7,0.25,strong nonlinearity/interaction-dependent; sign-varying,hard-coded,fixed,False
abc_target_07_fibro_s1440_stat,fibroblast,1,divProbFN,1.52504948621,1.52504948621,0.944428266645,0.6192771285029317,19,0.95,1,0.050000000000000044,5.40463950863,1.65607051831,1.0,0.0,moderate nonlinearity/interaction,fixed,fixed,False
abc_target_07_fibro_s1440_stat,fibroblast,2,dieProbFN,-1.22641288515,1.22641288515,0.698667822352,0.5696840198042663,20,1.0,0,0.0,7.75065706292,1.33177725755,0.0,1.0,moderate nonlinearity/interaction,fixed,fixed,False
abc_target_07_fibro_s1440_stat,fibroblast,3,dieProbFP,-0.711686715922,0.71182122544,0.56064106665,0.7876149890071757,20,1.0,0,0.0,3.66177086994,0.772975668277,0.05,0.95,moderate nonlinearity/interaction,fixed,fixed,False
abc_target_07_fibro_s1440_stat,fibroblast,4,activProbF,0.668555061331,0.668555061331,0.474502463662,0.7097432823518406,19,0.95,1,0.050000000000000044,2.48780524162,0.725992393655,1.0,0.0,moderate nonlinearity/interaction,ABC-inferred,inferred,True
abc_target_07_fibro_s1440_stat,fibroblast,5,divProbMN,-0.203545280711,0.605331255912,1.02440718535,1.6923084267416768,18,0.9,2,0.09999999999999998,3.66886737985,0.657336864011,0.166666666667,0.833333333333,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_07_fibro_s1440_stat,fibroblast,6,divProbMP,-0.499731675385,0.589504617747,0.645775134926,1.0954539039813762,19,0.95,1,0.050000000000000044,3.58236434465,0.640150517531,0.157894736842,0.842105263158,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_07_fibro_s1440_stat,fibroblast,7,dieProbMN,0.519751438232,0.538082003267,0.724090561258,1.34568812348608,19,0.95,1,0.050000000000000044,4.27225915233,0.58431005033,0.947368421053,0.0526315789474,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_07_fibro_s1440_stat,fibroblast,8,pOffMax,0.00497416800215,0.524916128547,0.783854876179,1.4932954686470739,20,1.0,0,0.0,2.08642104878,0.570013060515,0.5,0.5,strong nonlinearity/interaction-dependent; sign-varying,ABC-inferred,inferred,True
abc_target_07_fibro_s1440_stat,fibroblast,9,initialMacrophageCount,-0.269491093302,0.513335965898,1.09812801961,2.139199457199534,19,0.95,1,0.050000000000000044,1.3777084574,0.557438015487,0.315789473684,0.684210526316,strong nonlinearity/interaction-dependent; sign-varying,hard-coded,fixed,False
