output,output_family,parameter,screened,current_status,classification,classification_reason,mu_star,sigma,n_valid,n_lost,mean_snr,mu_star_q25,mu_star_median,mu_star_q75,sigma_q25,sigma_median,sigma_q75
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbMP",true,"fixed","D","mu-star and sigma at/below output medians",0.257551127389,0.426754272566,19,1,0.521060518425,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","migrProbM",true,"fixed","B","mu-star at/above output Q75 and sigma at/above median",0.495619477543,0.876093272053,19,1,0.546394702326,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbEN",true,"fixed","C","intermediate mu-star with above-median variability",0.404253467911,0.651529425175,20,0,0.432237340805,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbEP",true,"fixed","D","mu-star and sigma at/below output medians",0.236242173401,0.488762122985,20,0,0.472690839697,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbEP",true,"fixed","C","sigma at/above output Q75 while mu-star below Q75",0.308933222178,0.814111457497,20,0,0.394725393724,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","deactProbE",true,"fixed","D","mu-star and sigma at/below output medians",0.274839725326,0.405735945418,19,1,0.588514597024,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","dieProbL",true,"fixed","B","mu-star at/above output Q75 and sigma at/above median",0.668795905584,0.662489640603,20,0,4.23943596094,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","macrophageDaughterActivationBoost",true,"hard-coded","D","mu-star and sigma at/below output medians",0.0683107133352,0.126577437635,20,0,0.285340103178,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","endothelialDaughterDivisionBoost",true,"hard-coded","D","mu-star and sigma at/below output medians",0.167541588363,0.475899324424,20,0,0.198145323711,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","fibroblastSignalBoost",true,"hard-coded","D","mu-star and sigma at/below output medians",0.239209845680,0.344029801636,20,0,0.492614311582,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","fibroblastSignalCap",true,"hard-coded","D","mu-star and sigma at/below output medians",0.0593649934599,0.119695618756,20,0,0.370445050211,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","tumorEndothelialRadius",true,"hard-coded","D","mu-star and sigma at/below output medians",0.261396771663,0.429436245689,20,0,0.392853105608,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","macrophageInteractionRadius",true,"hard-coded","C","intermediate mu-star with above-median variability",0.382015777911,0.612119004532,19,1,0.912049597944,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","macrophageEndothelialBiasRadius",true,"hard-coded","D","mu-star and sigma at/below output medians",0.268432218839,0.489278787005,19,1,0.475104059002,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","endothelialMacrophageRadius",true,"hard-coded","B","mu-star at/above output Q75 and sigma at/above median",0.606974503738,0.911462582799,19,1,0.618554507916,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","fibroblastTumorRadius",true,"hard-coded","D","mu-star and sigma at/below output medians",0.276731010381,0.389315436504,19,1,0.641238864927,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","clusterRadius",true,"fixed","B","mu-star at/above output Q75 and sigma at/above median",0.492150665254,0.868969069171,20,0,1.21611842859,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","initialJnkPositiveTenths",true,"hard-coded","C","intermediate mu-star with above-median variability",0.391766516593,0.654054954354,20,0,0.410001924332,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","initialMacrophageCount",true,"hard-coded","C","intermediate mu-star with above-median variability",0.393193296096,0.476041807796,20,0,0.658798833398,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","initialLungCount",true,"hard-coded","C","intermediate mu-star with above-median variability",0.347951303469,0.369712046518,19,1,1.40837675198,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","initPop",true,"fixed CLI","D","mu-star and sigma at/below output medians",0.189601934971,0.339093185901,20,0,0.435230413301,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","migrProbF",false,"inactive","E","structurally inactive field confirmed unused or blocked by current event logic",,,0,0,,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","activProbMP",false,"inactive","E","structurally inactive field confirmed unused or blocked by current event logic",,,0,0,,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbEN",false,"inactive","E","structurally inactive field confirmed unused or blocked by current event logic",,,0,0,,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","migrProbE",false,"inactive","E","structurally inactive field confirmed unused or blocked by current event logic",,,0,0,,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","divProbL",false,"inactive","E","structurally inactive field confirmed unused or blocked by current event logic",,,0,0,,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","initialEndothelialCoordinates",false,"structural","F","not screened in untreated Morris design: No defensible resampling rule or range; retain as fixed spatial input pending image provenance",,,0,0,,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","initialFibroblastCoordinates",false,"structural","F","not screened in untreated Morris design: No defensible resampling rule or range; retain pending image provenance",,,0,0,,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","signalSearchMultiplier",false,"computational","F","not screened in untreated Morris design: Numerical accuracy control, not biological uncertainty; screen lambda values instead",,,0,0,,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","signalSearchPadding",false,"computational","F","not screened in untreated Morris design: Fixed numerical guard",,,0,0,,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","chemoJnkPositiveDeathMultiplier",false,"treatment-specific","F","not screened in untreated Morris design: Excluded from untreated screen; not active by step 1440",,,0,0,,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","chemoJnkPositiveOffMultiplier",false,"treatment-specific","F","not screened in untreated Morris design: Excluded from untreated screen",,,0,0,,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","chemoJnkNegativeDeathMultiplier",false,"treatment-specific","F","not screened in untreated Morris design: Excluded from untreated screen",,,0,0,,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","chemoJnkNegativeOnMultiplier",false,"treatment-specific","F","not screened in untreated Morris design: Excluded from untreated screen",,,0,0,,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","chemoStartStep",false,"treatment-specific","F","not screened in untreated Morris design: Excluded from untreated screen",,,0,0,,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","gridWidth",false,"structural","F","not screened in untreated Morris design: Domain-size sensitivity requires coordinate remapping and a separate design",,,0,0,,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
"abc_target_01_jnkp_s480_standardized_residual","jnk","gridHeight",false,"structural","F","not screened in untreated Morris design: Domain-size sensitivity requires coordinate remapping",,,0,0,,0.259983691074,0.328623637468,0.492150665254,0.410038583386,0.489278787005,0.750857835952
