,current_status_a,current_status_b,in_abc12,rank_a,rank_b,rank_change_b_minus_a,abs_rank_change,score_a,score_b,score_change,tumor_score_a,tumor_score_b,jnk_score_a,jnk_score_b,fibroblast_score_a,fibroblast_score_b,macrophage_score_a,macrophage_score_b,endothelial_score_a,endothelial_score_b,failure_score_a,failure_score_b
endothelialMacrophageRadius,hard-coded,hard-coded,False,31,23,-8,8,0.225492244106,0.193522309213,-0.031969934892999985,0.240405732701,0.122264959574,0.282785593347,0.136541535773,0.0982403091711,0.0971600992265,0.131431503173,0.110344279958,0.263461070636,0.520029902158,0.336629255606,0.174793078587
dieProbEP,fixed,fixed,False,15,24,9,9,0.320378162131,0.193225327868,-0.127152834263,0.178249217467,0.0728206198527,0.176603756246,0.123603289372,0.0938483423589,0.0536453321347,0.301770571461,0.132721752364,0.749100147125,0.405129236297,0.42269693813,0.371431737186
initialMacrophageCount,hard-coded,hard-coded,False,23,25,2,2,0.262070909939,0.191945201461,-0.07012570847800001,0.308441153615,0.177497536705,0.282930073019,0.116345672865,0.175944526371,0.163773569309,0.253983690534,0.21387081356,0.301774260994,0.202313522216,0.249351755099,0.277870094113
dieProbL,fixed,fixed,False,14,26,12,12,0.320584325634,0.189389466558,-0.131194859076,0.244389515482,0.192895519682,0.428182552758,0.476173880744,0.194025215972,0.155879910815,0.138797156928,0.084319960808,0.242543572731,0.0882470514502,0.675567939936,0.138820475847
recruitBias,fixed,fixed,False,17,27,10,10,0.291898449232,0.183831120966,-0.10806732826599999,0.329271195188,0.209038202786,0.261146584942,0.190647136279,0.319727215955,0.123024069469,0.204047832114,0.164827974318,0.310327632274,0.17710931097,0.326870234916,0.238340031973
netN,ABC-inferred,ABC-inferred,True,33,28,-5,5,0.214797740185,0.163732035759,-0.051065704426,0.219056581916,0.12914659278,0.209402153997,0.15997587625,0.154549476215,0.0724298571633,0.102238351169,0.0440962293147,0.316222257163,0.111846893603,0.287317620651,0.464896765443
initPop,fixed CLI,fixed CLI,False,16,29,13,13,0.299985773268,0.161462799291,-0.13852297397700003,0.324226311442,0.192730176616,0.241413468042,0.0887232258673,0.185576650393,0.0983793735313,0.132502929155,0.0689540076019,0.311373112538,0.181091559683,0.604822168041,0.338898452446
dieProbN,ABC-inferred,ABC-inferred,True,30,30,0,0,0.226438283867,0.160649292325,-0.06578899154199999,0.301377388935,0.18757779335,0.233837389538,0.19144109424,0.198901186481,0.121653564061,0.169705125243,0.0699872073721,0.14434905418,0.123677335013,0.310459558824,0.269558759913
activProbM,ABC-inferred,ABC-inferred,True,39,31,-8,8,0.189125767706,0.156266665058,-0.032859102648000016,0.201971013037,0.110686053444,0.238811568693,0.127067586053,0.195496609575,0.0957144034289,0.128911702943,0.0823580913057,0.292054866888,0.183979059533,0.0775088450995,0.337794796582
divProbFP,ABC-inferred,ABC-inferred,True,20,32,12,12,0.282516917155,0.155713311747,-0.12680360540799998,0.219408014888,0.116210728417,0.195415953317,0.146197212475,0.546254415617,0.301194368733,0.146549544649,0.0633235249737,0.22043150627,0.0941456725078,0.367042068191,0.213208363374
deactProbE,fixed,fixed,False,42,33,-9,9,0.166795277497,0.154508883057,-0.012286394439999987,0.141260749086,0.0587757059342,0.175439541429,0.16338873775,0.119224289557,0.0453162678545,0.0894831586494,0.0676691289617,0.278994097707,0.261696587973,0.196369828554,0.330206869866
fibroblastTumorRadius,hard-coded,hard-coded,False,40,34,-6,6,0.189102731081,0.154189555633,-0.03491317544800002,0.215009243341,0.0904334792383,0.224118579192,0.0935507503481,0.192336794205,0.237196505953,0.0934035524855,0.0516530847992,0.143832353646,0.177833564814,0.265915863617,0.274469948647
initialLungCount,hard-coded,hard-coded,False,18,35,17,17,0.285815396657,0.152471298143,-0.133344098514,0.240190167563,0.141484653094,0.37510854992,0.231283734503,0.266382759645,0.132176628198,0.140387628404,0.0775882773405,0.211457896494,0.0898183433022,0.481365377917,0.24247615242
activProbE,ABC-inferred,ABC-inferred,True,36,36,0,0,0.208688196519,0.141876959067,-0.06681123745199999,0.153118177397,0.0920921828236,0.20679696479,0.129364754308,0.143597303711,0.0777918017262,0.103194651518,0.0893763072757,0.4126218366,0.272390132924,0.232800245098,0.190246575342
macrophageEndothelialBiasRadius,hard-coded,hard-coded,False,35,37,2,2,0.209203579736,0.129703627885,-0.079499951851,0.213994237965,0.0619255481761,0.220524719056,0.0782137670751,0.165551077817,0.0694301117274,0.233876825316,0.157416740898,0.273614176358,0.113688121425,0.147660441904,0.297547478011
migrProbN,fixed,fixed,False,28,38,10,10,0.235924169623,0.119046659842,-0.116877509781,0.309751776034,0.0986407048681,0.140046925365,0.106984953075,0.193128069361,0.0820378092994,0.185754414342,0.0512542103627,0.153526629184,0.145557228507,0.433337203452,0.229805052941
tumorEndothelialRadius,hard-coded,hard-coded,False,37,39,2,2,0.200942761047,0.117338189214,-0.08360457183300002,0.23383246508,0.061051871819,0.320329820826,0.0961834256464,0.163264277283,0.0480952464033,0.0926997451873,0.0493819707648,0.242993493201,0.0874032236259,0.152536764706,0.361913397022
ecSurvival,ABC-inferred,ABC-inferred,True,41,40,-1,1,0.183738262229,0.116493372068,-0.06724489016099999,0.161974125158,0.0490937125438,0.143147010912,0.0820127257739,0.142801556035,0.0413316927219,0.0671743147021,0.0529676514052,0.170791678762,0.137720941336,0.416540887805,0.335833508625
cafDivBoost,ABC-inferred,ABC-inferred,True,38,41,3,3,0.193981924239,0.108859776458,-0.08512214778099998,0.180707908745,0.0816977067062,0.167773143067,0.164916706733,0.17385614243,0.070320111455,0.133339541163,0.0661301744668,0.242148633559,0.0818682129598,0.266066176471,0.188225746424
fibroblastSignalBoost,hard-coded,hard-coded,False,27,42,15,15,0.239462034687,0.0991048481172,-0.1403571865698,0.154337707917,0.0813320601876,0.282245255956,0.111489835553,0.208675999763,0.0766989879172,0.0846402269591,0.0606899139153,0.159947826925,0.0934736787971,0.546925190603,0.170944612333
fibroblastSignalCap,hard-coded,hard-coded,False,45,43,-2,2,0.126475814567,0.0809287683819,-0.0455470461851,0.0505441616848,0.0379589100931,0.122150163813,0.06254808771,0.0493014444113,0.0248416192892,0.018842665174,0.0326792463994,0.0944319482725,0.044043679292,0.423584504044,0.283501067508
macrophageDaughterActivationBoost,hard-coded,hard-coded,False,43,44,1,1,0.163211843192,0.0725748003069,-0.0906370428851,0.0875192226445,0.0426270542809,0.111165386488,0.0448310254611,0.0712151741764,0.0476638988549,0.0756117592422,0.0483591953121,0.218611871566,0.0843111056626,0.415147645033,0.16765652227
endothelialDaughterDivisionBoost,hard-coded,hard-coded,False,44,45,1,1,0.132900200834,0.0618081080859,-0.0710920927481,0.0452641179732,0.0308265273106,0.0397386439149,0.0697998138878,0.0246853526859,0.0185147004093,0.0299596063506,0.0314750083867,0.157231018041,0.102665186841,0.50052246604,0.11756741168
