sample_id,point_id,trajectory_id,step_id,replicate_id,simulation_seed,status,flags,error_class,error_message,runtime_ms
"T0001_S003_R003","T0001_S003",1,3,3,-6931442442958660410,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3762
"T0001_S003_R004","T0001_S003",1,3,4,4581676988027564342,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3998
"T0001_S004_R000","T0001_S004",1,4,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3794
"T0001_S004_R001","T0001_S004",1,4,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3857
"T0001_S004_R002","T0001_S004",1,4,2,-7132704432876195398,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3538
"T0001_S004_R003","T0001_S004",1,4,3,-6931442442958660410,"EXTINCT","TUMOR_EXTINCT;EC_POPULATION_ZERO;INVALID_DENOMINATOR","","",3574
"T0001_S004_R004","T0001_S004",1,4,4,4581676988027564342,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",3747
"T0001_S005_R000","T0001_S005",1,5,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4129
"T0001_S005_R001","T0001_S005",1,5,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4122
"T0001_S005_R002","T0001_S005",1,5,2,-7132704432876195398,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",3934
"T0001_S005_R003","T0001_S005",1,5,3,-6931442442958660410,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",3753
"T0001_S005_R004","T0001_S005",1,5,4,4581676988027564342,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4107
"T0001_S006_R000","T0001_S006",1,6,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",3936
"T0001_S006_R001","T0001_S006",1,6,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4014
"T0001_S006_R002","T0001_S006",1,6,2,-7132704432876195398,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",3829
"T0001_S006_R003","T0001_S006",1,6,3,-6931442442958660410,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",3817
"T0001_S006_R004","T0001_S006",1,6,4,4581676988027564342,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",3827
"T0001_S007_R000","T0001_S007",1,7,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",3655
"T0001_S007_R001","T0001_S007",1,7,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",3894
"T0001_S007_R002","T0001_S007",1,7,2,-7132704432876195398,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",3604
"T0001_S007_R003","T0001_S007",1,7,3,-6931442442958660410,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",3854
"T0001_S007_R004","T0001_S007",1,7,4,4581676988027564342,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",3865
"T0001_S008_R000","T0001_S008",1,8,0,8544310459401790953,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4365
"T0001_S008_R001","T0001_S008",1,8,1,-428662896371755567,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4578
"T0001_S008_R002","T0001_S008",1,8,2,-7132704432876195398,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4280
"T0001_S008_R003","T0001_S008",1,8,3,-6931442442958660410,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4267
"T0001_S008_R004","T0001_S008",1,8,4,4581676988027564342,"EXTINCT","TUMOR_EXTINCT;INVALID_DENOMINATOR","","",4386
