outcome,parameter,n_runs,n_event,n_no_event,mean_physical_event,mean_physical_no_event,physical_mean_difference,normalized_mean_difference,rank_biserial_effect,point_biserial_correlation,univariate_logistic_coefficient,permutation_p_value
"EC_POPULATION_ZERO","pOnMax",184,32,152,0.0784361266910,0.0299309710239,0.0485051556671,0.479605263158,0.705592105263,0.516352666437,5.08930119542,0.00497512437811
"EC_POPULATION_ZERO","initialJnkPositiveTenths",184,32,152,8.31250000000,6.84210526316,1.47039473684,0.294078947368,0.651315789474,0.407466297593,5.67372908290,0.00497512437811
"EC_POPULATION_ZERO","deactProbE",184,32,152,0.0206250000000,0.00157894736842,0.0190460526316,0.380921052632,0.634868421053,0.651417648895,6.13138186377,0.00497512437811
"EC_POPULATION_ZERO","clusterRadius",184,32,152,4.37500000000,7,-2.62500000000,-0.416447368421,-0.631578947368,-0.508471953168,-3.98416860945,0.00497512437811
"EC_POPULATION_ZERO","dieProbEN",184,32,152,0.00513263318008,0.00299213386009,0.00214049931999,0.254605263158,0.601973684211,0.361687929456,5.13963809620,0.00497512437811
"EC_POPULATION_ZERO","ecSurvival",184,32,152,0.247500000000,0.144473684211,0.103026315789,0.343421052632,0.582236842105,0.390872323290,3.41494032718,0.00497512437811
"EC_POPULATION_ZERO","cafDivBoost",184,32,152,0.587500000000,0.913157894737,-0.325657894737,-0.325657894737,-0.542763157895,-0.482299473310,-4.27491559577,0.00497512437811
"EC_POPULATION_ZERO","divProbEP",184,32,152,0.00431890806310,0.0112580433442,-0.00693913528111,-0.380921052632,-0.467105263158,-0.331334608717,-2.18723355234,0.00497512437811
"EC_POPULATION_ZERO","fibroblastSignalCap",184,32,152,7.12500000000,10.0263157895,-2.90131578947,-0.290131578947,-0.452302631579,-0.297751210243,-2.22035721585,0.00497512437811
"EC_POPULATION_ZERO","netN",184,32,152,0.00323172722598,0.00439083425967,-0.00115910703369,-0.270394736842,-0.450657894737,-0.367658403779,-3.26421435502,0.00497512437811
"EC_POPULATION_ZERO","initialMacrophageCount",184,32,152,1006.43750000,1110.50000000,-104.062500000,-0.112500000000,-0.445723684211,-0.283266364328,-4.10568274988,0.00497512437811
"EC_POPULATION_ZERO","activProbF",184,32,152,0.00868332136480,0.00460836145068,0.00407495991413,0.258552631579,0.430921052632,0.327910144181,3.24864806753,0.00497512437811
"EC_POPULATION_ZERO","lambdaCAF",184,32,152,1.10907924540,2.62243026426,-1.51335101886,-0.360197368421,-0.421875000000,-0.292503842150,-2.10777182494,0.00497512437811
"EC_POPULATION_ZERO","stressStrength",184,32,152,0.187500000000,0.607894736842,-0.420394736842,-0.140131578947,-0.391447368421,-0.210159349609,-4.26036037701,0.00497512437811
"EC_POPULATION_ZERO","initialLungCount",184,32,152,1401.59375000,1136.84868421,264.745065789,0.216118421053,0.378289473684,0.223049674275,1.90433415608,0.00497512437811
"EC_POPULATION_ZERO","activProbM",184,32,152,0.0552500000000,0.0477894736842,0.00746052631579,0.124342105263,0.343750000000,0.158069859154,1.56474682824,0.0447761194030
"EC_POPULATION_ZERO","dieProbMN",184,32,152,0.00409955588485,0.00484131701301,-0.000741761128152,-0.0730263157895,-0.310855263158,-0.108031256410,-1.12867606342,0.159203980100
"EC_POPULATION_ZERO","macrophageInteractionRadius",184,32,152,4.55000000000,3.75263157895,0.797368421053,0.199342105263,0.305921052632,0.206814230932,1.72017065189,0.0149253731343
"EC_POPULATION_ZERO","endothelialDaughterDivisionBoost",184,32,152,0.000620211133938,0.000957602869326,-0.000337391735388,-0.222039473684,-0.300164473684,-0.345164927672,-4.48387941167,0.00497512437811
"EC_POPULATION_ZERO","macrophageDaughterActivationBoost",184,32,152,0.00869623778499,0.00742538435493,0.00127085343006,0.0809210526316,0.292763157895,0.126154974172,1.67170593109,0.164179104478
"EC_POPULATION_ZERO","lambdaStress",184,32,152,2.40066938147,3.02519266095,-0.624523279475,-0.103618421053,-0.262335526316,-0.159786609284,-1.65435480466,0.0298507462687
"EC_POPULATION_ZERO","activProbE",184,32,152,0.0156950791077,0.0210426186616,-0.00534753955386,-0.150000000000,-0.250000000000,-0.208098157860,-1.83102048111,0.0199004975124
"EC_POPULATION_ZERO","fibroblastTumorRadius",184,32,152,3.35000000000,3.97368421053,-0.623684210526,-0.155921052632,-0.241776315789,-0.169435159762,-1.26104159190,0.0149253731343
"EC_POPULATION_ZERO","divProbMN",184,32,152,0.00417448679756,0.00614749320658,-0.00197300640902,-0.136184210526,-0.228618421053,-0.148673600212,-1.07563107213,0.0597014925373
"EC_POPULATION_ZERO","dieProbEP",184,32,152,0.00223321481527,0.00357015867565,-0.00133694386038,-0.124342105263,-0.220394736842,-0.172235468679,-1.96907098941,0.0298507462687
"EC_POPULATION_ZERO","divProbFN",184,32,152,0.00512500000000,0.00542105263158,-0.000296052631579,-0.0296052631579,-0.213815789474,-0.0368000447780,-0.310640660319,0.641791044776
"EC_POPULATION_ZERO","dieProbN",184,32,152,0.0143937522688,0.0149694187666,-0.000575666497807,0.00394736842105,-0.195723684211,0.00402911118637,0.0286677482176,0.935323383085
"EC_POPULATION_ZERO","divProbFP",184,32,152,0.0312500000000,0.0335789473684,-0.00232894736842,-0.116447368421,-0.194078947368,-0.150024783504,-1.31718488169,0.0497512437811
"EC_POPULATION_ZERO","migrProbP",184,32,152,0.0337500000000,0.0686842105263,-0.0349342105263,-0.116447368421,-0.194078947368,-0.154452378683,-1.63914216178,0.0497512437811
"EC_POPULATION_ZERO","pOffMax",184,32,152,0.0896615775193,0.0653890114566,0.0242725660626,0.0700657894737,0.172697368421,0.109022756428,1.18026819134,0.218905472637
"EC_POPULATION_ZERO","endothelialMacrophageRadius",184,32,152,2.40625000000,2.40131578947,0.00493421052632,0.00197368421053,0.162828947368,0.00199788425093,0.0140714642900,1
"EC_POPULATION_ZERO","initPop",184,32,152,29.5000000000,25.7894736842,3.71052631579,0.0927631578947,0.154605263158,0.126130985238,1.35401766898,0.104477611940
"EC_POPULATION_ZERO","divProbP",184,32,152,0.0145652598360,0.0168375136910,-0.00227225385505,-0.125328947368,-0.143092105263,-0.238536831546,-2.62917042427,0.00497512437811
"EC_POPULATION_ZERO","dieProbFP",184,32,152,0.00262389915205,0.00319630753738,-0.000572408385323,-0.0256578947368,0.133223684211,-0.0289907782441,-0.231446423054,0.721393034826
"EC_POPULATION_ZERO","divProbMP",184,32,152,0.00855170995136,0.0107059139411,-0.00215420398976,-0.0177631578947,0.128289473684,-0.0208000475143,-0.171446778800,0.845771144279
"EC_POPULATION_ZERO","dieProbL",184,32,152,0.00287005627754,0.00203478966404,0.000835266613498,0.118421052632,0.120065789474,0.182591844748,2.08102262568,0.0348258706468
"EC_POPULATION_ZERO","macrophageEndothelialBiasRadius",184,32,152,3.45000000000,3.20526315789,0.244736842105,0.0611842105263,0.101973684211,0.0868855374740,0.947325792646,0.263681592040
"EC_POPULATION_ZERO","fibroblastSignalBoost",184,32,152,0.0126913607932,0.0119357532181,0.000755607575155,0.0878289473684,0.0986842105263,0.102879487310,0.811339996711,0.189054726368
"EC_POPULATION_ZERO","dieProbP",184,32,152,0.00193189872697,0.00181094127576,0.000120957451205,0.0927631578947,0.0838815789474,0.106545075932,0.846496226213,0.194029850746
"EC_POPULATION_ZERO","migrProbM",184,32,152,0.559375000000,0.581578947368,-0.0222039473684,-0.0296052631579,-0.0781250000000,-0.0420413891003,-0.401936761362,0.601990049751
