output,output_family,parameter,one_seed_mu_star,multi_seed_mu_star,multi_seed_mu_star_ci_low,multi_seed_mu_star_ci_high,one_seed_restricted_rank,multi_seed_rank,rank_change,multi_seed_sigma,multi_seed_mean_snr,spearman_rank_correlation,n_valid_multi_seed,n_lost_multi_seed
"abc_target_01_jnkp_s480_stat","jnk","divProbEP",0.0285352082196,0.0143073547724,0.0137881592327,0.0148265503121,13,14,1,0.000374619068222,0.477496183722,0.685714285714,2,0
"abc_target_01_jnkp_s480_stat","jnk","cafDivBoost",0.0201290727746,0.00560391030417,0.00133268229472,0.00987513831363,14,15,1,0.00308185131580,0.145250489527,0.685714285714,2,0
"abc_target_02_jnkp_s1440_standardized_residual","jnk","dieProbFP",2.40379700668,1.03596642894,0,2.96339852897,1,1,0,1.39071460021,1.12378899516,0.797802197802,2,0
"abc_target_02_jnkp_s1440_standardized_residual","jnk","divProbP",0.795151564019,0.782042752688,0,2.18146117964,4,2,-2,1.00973291777,1.02182014074,0.797802197802,2,0
"abc_target_02_jnkp_s1440_standardized_residual","jnk","divProbFN",1.20561344481,0.561331041879,0.287574870449,0.835087213309,3,3,0,0.197525352255,1.26317877875,0.797802197802,2,0
"abc_target_02_jnkp_s1440_standardized_residual","jnk","divProbFP",0.699278957298,0.555022831559,0.470805111228,0.639240551889,6,4,-2,0.0607662460631,0.995099996094,0.797802197802,2,0
"abc_target_02_jnkp_s1440_standardized_residual","jnk","stressStrength",0.268449264523,0.491640407823,,,10,5,-5,,1.37574894391,0.797802197802,1,1
"abc_target_02_jnkp_s1440_standardized_residual","jnk","endothelialMacrophageRadius",2.04082310431,0.258728792695,0.155462873530,0.361994711860,2,6,4,0.365897767606,0.243691206114,0.797802197802,2,0
"abc_target_02_jnkp_s1440_standardized_residual","jnk","pOffMax",0.709407747557,0.252802015199,,,5,7,2,,0.892715739577,0.797802197802,1,1
"abc_target_02_jnkp_s1440_standardized_residual","jnk","divProbEP",0.193561908200,0.196567210043,0.109482052030,0.283652368056,11,8,-3,0.0628352099711,1.34118731887,0.797802197802,2,0
"abc_target_02_jnkp_s1440_standardized_residual","jnk","dieProbFN",0.352083968278,0.160826088005,0,0.389066017703,9,9,0,0.227442434841,0.764580531397,0.797802197802,2,0
"abc_target_02_jnkp_s1440_standardized_residual","jnk","clusterRadius",0.459336532317,0.131698213451,0.116106843037,0.147289583865,7,10,3,0.0112497589263,0.366187533359,0.797802197802,2,0
"abc_target_02_jnkp_s1440_standardized_residual","jnk","macrophageInteractionRadius",0.0383476616844,0.129972383093,,,13,11,-2,,0.345427721536,0.797802197802,1,1
"abc_target_02_jnkp_s1440_standardized_residual","jnk","divProbMP",0.415285287365,0.128503340349,0.0626192099271,0.194387470771,8,12,4,0.181731166732,0.315190485533,0.797802197802,2,0
"abc_target_02_jnkp_s1440_standardized_residual","jnk","ecSurvival",0.0451457016205,0.112925832119,0.0428257690667,0.183025895172,12,13,1,0.0505798264757,0.534474528560,0.797802197802,2,0
"abc_target_02_jnkp_s1440_standardized_residual","jnk","cafDivBoost",0.0193374077786,0.0376180786662,0.0305936576738,0.0446424996587,14,14,0,0.0531999970402,0.308055939298,0.797802197802,2,0
"abc_target_02_jnkp_s1440_stat","jnk","dieProbFP",0.480759401336,0.207193285788,0,0.592679705793,1,1,0,0.278142920042,1.12378899516,0.797802197802,2,0
"abc_target_02_jnkp_s1440_stat","jnk","divProbP",0.159030312804,0.156408550538,0,0.436292235928,4,2,-2,0.201946583554,1.02182014074,0.797802197802,2,0
"abc_target_02_jnkp_s1440_stat","jnk","divProbFN",0.241122688963,0.112266208376,0.0575149740898,0.167017442662,3,3,0,0.0395050704510,1.26317877875,0.797802197802,2,0
"abc_target_02_jnkp_s1440_stat","jnk","divProbFP",0.139855791460,0.111004566312,0.0941610222456,0.127848110378,6,4,-2,0.0121532492126,0.995099996094,0.797802197802,2,0
"abc_target_02_jnkp_s1440_stat","jnk","stressStrength",0.0536898529045,0.0983280815647,,,10,5,-5,,1.37574894391,0.797802197802,1,1
"abc_target_02_jnkp_s1440_stat","jnk","endothelialMacrophageRadius",0.408164620862,0.0517457585390,0.0310925747060,0.0723989423720,2,6,4,0.0731795535212,0.243691206114,0.797802197802,2,0
"abc_target_02_jnkp_s1440_stat","jnk","pOffMax",0.141881549511,0.0505604030397,,,5,7,2,,0.892715739577,0.797802197802,1,1
"abc_target_02_jnkp_s1440_stat","jnk","divProbEP",0.0387123816400,0.0393134420085,0.0218964104059,0.0567304736111,11,8,-3,0.0125670419942,1.34118731887,0.797802197802,2,0
"abc_target_02_jnkp_s1440_stat","jnk","dieProbFN",0.0704167936555,0.0321652176011,0,0.0778132035407,9,9,0,0.0454884869681,0.764580531397,0.797802197802,2,0
"abc_target_02_jnkp_s1440_stat","jnk","clusterRadius",0.0918673064635,0.0263396426902,0.0232213686074,0.0294579167730,7,10,3,0.00224995178526,0.366187533359,0.797802197802,2,0
